Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[16, 18]	add(sub(X18, X18), mul(add(div(X16, -6), add(add(X18, 3), 3)), 5))	None	0.023228626256743944	3601884.835309442	1	1000.0	24982	1037	20.0	1000.0	23962	23963	999	1000	1	0.023228626256743944	1	0.0	0.023228626256743944	0.0	1
[16, 18]	add(sub(X18, add(X18, 3)), mul(add(div(X16, -6), add(X18, 3)), 5))	None	0.02744300512245359	2859761.5373155624	1	1000.0	24982	1277	20.0	1000.0	23722	23723	999	1000	1	0.02744300512245359	1	0.0	0.02744300512245359	0.0	1
[18]	add(sub(X18, X18), mul(add(div(sub(X18, X18), mul(add(5, add(X18, 3)), 5)), add(X18, 3)), 5))	None	0.06438507145288747	546075.1855606169	1	1000.0	24982	1586	20.0	1000.0	23413	23414	999	1000	1	0.06438507145288747	1	0.0	0.06438507145288747	0.0	1
[18]	add(sub(X18, X18), mul(add(div(add(X18, 3), -6), add(X18, 3)), 5))	None	0.02989798317928575	2851016.2227618895	1	1000.0	24982	1708	20.0	1000.0	23291	23292	999	1000	1	0.02989798317928575	1	0.0	0.02989798317928575	0.0	1
[18]	add(add(5, add(X18, 3)), mul(add(div(sub(X18, X18), -6), add(X18, 3)), 5))	None	0.025796887536922133	3956132.7995093605	1	1000.0	24982	1774	20.0	1000.0	23225	23226	999	1000	1	0.025796887536922133	1	0.0	0.025796887536922133	0.0	1
[18]	add(sub(X18, X18), mul(X18, 5))	None	0.08092437717505462	379477.85025515483	2	1000.0	24982	1942	20.0	2000.0	23057	23058	999	1000	1	0.08092437717505462	1	0.0	0.08092437717505462	0.0	1
[18]	add(sub(X18, sub(add(X18, 3), X18)), mul(add(div(sub(X18, X18), -6), add(X18, 3)), 5))	None	0.027750169073084443	3638335.0054998742	1	1000.0	24982	1964	20.0	1000.0	23035	23036	999	1000	1	0.027750169073084443	1	0.0	0.027750169073084443	0.0	1
[18]	add(sub(X18, X18), mul(add(div(sub(X18, sub(X18, X18)), -6), add(X18, 3)), 5))	None	0.03125330995501045	2915997.320148552	1	1000.0	24982	2035	20.0	1000.0	22964	22965	999	1000	1	0.03125330995501045	1	0.0	0.03125330995501045	0.0	1
[18]	add(sub(X18, X18), mul(add(div(sub(X18, X18), mul(add(5, add(sub(X18, X18), 3)), 5)), add(X18, 3)), 5))	None	0.0695838969942394	546374.335810385	1	1000.0	24982	2056	20.0	1000.0	22943	22944	999	1000	1	0.0695838969942394	1	0.0	0.0695838969942394	0.0	1
[18]	add(sub(X18, X18), mul(add(div(sub(sub(X18, X18), X18), -6), add(X18, 3)), 5))	None	0.03341493820564098	2728661.3046219917	1	1000.0	24982	2261	20.0	1000.0	22738	22739	999	1000	1	0.03341493820564098	1	0.0	0.03341493820564098	0.0	1
[18]	add(sub(X18, X18), mul(add(div(sub(X18, add(div(sub(X18, X18), mul(add(5, add(sub(X18, X18), 3)), 5)), add(X18, 3))), X18), add(X18, 3)), 5))	None	0.07593191603259106	610622.1560017453	1	1000.0	24982	3123	20.0	1000.0	21876	21877	999	1000	1	0.07593191603259106	1	0.0	0.07593191603259106	0.0	1
[18]	add(sub(X18, X18), mul(add(div(sub(X18, X18), mul(add(5, X18), 5)), add(X18, 3)), 5))	None	0.08096453174558786	546183.2085257182	1	1000.0	24982	3239	20.0	1000.0	21760	21761	999	1000	1	0.08096453174558786	1	0.0	0.08096453174558786	0.0	1
[18]	add(sub(X18, add(div(sub(X18, X18), mul(add(5, add(mul(add(div(sub(X18, X18), add(X18, 3)), add(X18, 3)), 5), 3)), 5)), add(X18, 3))), mul(X18, 5))	None	0.09737412597349648	399731.26518761663	1	1000.0	24982	3652	20.0	1000.0	21347	21348	999	1000	1	0.09737412597349648	1	0.0	0.09737412597349648	0.0	1
[18]	add(sub(X18, add(X18, add(X18, 3))), mul(X18, 5))	None	0.03420006599633934	3727427.135995166	1	1000.0	24982	3674	20.0	1000.0	21325	21326	999	1000	1	0.03420006599633934	1	0.0	0.03420006599633934	0.0	1
[18]	add(sub(X18, add(div(sub(X18, X18), mul(add(5, add(X18, 3)), div(sub(X18, X18), mul(add(5, -6), 5)))), add(X18, 3))), mul(X18, 5))	None	0.09696016105987314	410721.22576554713	1	1000.0	24982	3735	20.0	1000.0	21264	21265	999	1000	1	0.09696016105987314	1	0.0	0.09696016105987314	0.0	1
[18]	add(sub(X18, add(div(sub(X18, X18), mul(add(5, add(mul(add(div(sub(X18, X18), mul(add(5, -6), 5)), add(X18, 3)), 5), 3)), 5)), add(X18, 3))), mul(X18, 5))	None	0.09930704735913028	400446.00009038165	1	1000.0	24982	3868	20.0	1000.0	21131	21132	999	1000	1	0.09930704735913028	1	0.0	0.09930704735913028	0.0	1
