Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[19, 11, 4, 7]	sub(add(add(div(sin(-4), mul(X7, X11)), sub(X19, 2)), X19), div(-5, add(1, X4)))	None	0.20944464944529698	27610.85130172004	1	1000.0	24993	938	20.0	1000.0	24061	24062	999	1000	1	0.20944464944529698	1	0.0	0.20944464944529698	0.0	1
[19, 11, 4]	sub(add(add(div(sin(-4), mul(add(1, X4), X11)), X19), X19), div(-5, add(1, X4)))	None	0.23148599298548483	22958.494719503586	1	1000.0	24993	1083	20.0	1000.0	23916	23917	999	1000	1	0.23148599298548483	1	0.0	0.23148599298548483	0.0	1
[11, 19, 7]	sub(add(add(div(X19, mul(X7, X11)), sub(X19, 2)), X19), div(-5, X7))	None	0.23582475533424913	21872.3987214476	1	1000.0	24993	1083	20.0	1000.0	23916	23917	999	1000	1	0.23582475533424913	1	0.0	0.23582475533424913	0.0	1
[11, 19, 4, 7]	sub(add(add(div(sin(X19), mul(X7, X11)), sub(X19, 2)), X19), div(-5, add(1, X4)))	None	0.21642397878577035	27606.407077076372	1	1000.0	24993	1106	20.0	1000.0	23893	23894	999	1000	1	0.21642397878577035	1	0.0	0.21642397878577035	0.0	1
[19, 11, 7]	sub(add(add(div(sin(-4), mul(X7, X11)), X19), X19), div(div(sin(-4), X19), -5))	None	0.9642078496820717	5.721258894939429	1	1000.0	24993	3152	20.0	1000.0	21847	21848	999	1000	1	0.9642078496820717	1	0.0	0.9642078496820717	0.0	1
[11, 19, 7]	sub(add(add(div(sin(-4), 1), X19), X19), div(div(sin(-4), mul(X7, X11)), -5))	None	0.7339376889505929	572.053971807298	1	1000.0	24993	3353	20.0	1000.0	21646	21647	999	1000	1	0.7339376889505929	1	0.0	0.7339376889505929	0.0	1
[11, 19]	sub(add(X19, X19), div(div(div(sin(-4), mul(add(1, div(-5, -5)), X11)), -5), -5))	None	0.9952754363035725	0.0989464649344601	1	1000.0	24993	3391	20.0	1000.0	21608	21609	999	1000	1	0.9952754363035725	1	0.0	0.9952754363035725	0.0	1
[11, 19, 7]	sub(add(add(div(sin(-4), X19), X19), X19), div(div(sin(-4), mul(X7, X11)), -5))	None	0.8658665966980936	105.83041657022912	1	1000.0	24993	3410	20.0	1000.0	21589	21590	999	1000	1	0.8658665966980936	1	0.0	0.8658665966980936	0.0	1
[19, 11, 7]	sub(add(add(div(sin(-4), mul(X7, X11)), X19), X19), div(div(sin(add(div(sin(1), mul(X7, X11)), X19)), mul(div(sin(-4), mul(X7, X11)), X11)), -5))	None	0.1616501341736244	127248.12963000321	1	1000.0	24993	3731	20.0	1000.0	21268	21269	999	1000	1	0.1616501341736244	1	0.0	0.1616501341736244	0.0	1
[11, 19, 4, 7]	sub(add(X19, X19), div(div(sin(-4), mul(add(1, div(sin(-4), mul(X7, mul(add(1, X4), X11)))), X11)), -5))	None	0.9568757454757624	9.769609048478209	1	1000.0	24993	3810	20.0	1000.0	21189	21190	999	1000	1	0.9568757454757624	1	0.0	0.9568757454757624	0.0	1
[19, 11, 4, 7]	sub(add(add(div(sin(-4), mul(X7, mul(add(1, X4), X11))), X19), X19), div(X19, -5))	None	0.16215092842545484	132933.62031147038	1	1000.0	24993	3979	20.0	1000.0	21020	21021	999	1000	1	0.16215092842545484	1	0.0	0.16215092842545484	0.0	1
