Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 3, 12]	sin(add(add(sub(X1, 4), X3), X12))	None	0.008658973833897642	13107301.96193315	1	1000.0	9985	0	20.0	25691.942984666486	10000	10000	1000	1000	1	0.008658973833897642	1	0.0	0.008658973833897642	0.0	1
[0, 8, 19]	cos(cos(div(div(X0, X8), div(X19, 1))))	None	0.00866260407429121	13096222.585053675	1	1000.0	9985	0	20.0	25681.17625350663	10000	10000	1000	1000	1	0.00866260407429121	1	0.0	0.00866260407429121	0.0	1
[1, 6]	cos(sub(X6, X1))	None	0.008661931249551388	13098274.96984684	1	1000.0	9985	0	20.0	25683.171066237563	10000	10000	1000	1000	1	0.008661931249551388	1	0.0	0.008661931249551388	0.0	1
[]	div(sin(0), sin(2))	None	0.008659168955390173	13106706.102003979	1	1000.0	9985	0	20.0	25691.364054946207	10000	10000	1000	1000	1	0.008659168955390173	1	0.0	0.008659168955390173	0.0	1
[10, 19]	sin(div(cos(div(-2, X10)), mul(-2, X19)))	None	0.008658566523668233	13108545.931753235	1	1000.0	9985	0	20.0	25693.151567075874	10000	10000	1000	1000	1	0.008658566523668233	1	0.0	0.008658566523668233	0.0	1
[19, 3, 5]	cos(add(cos(X5), add(X3, X19)))	None	0.008659908783537658	13104447.189642865	1	1000.0	9985	0	20.0	25689.16920569892	10000	10000	1000	1000	1	0.008659908783537658	1	0.0	0.008659908783537658	0.0	1
[2, 6]	cos(sin(sub(X2, X6)))	None	0.00866406911019636	13091755.297850225	1	1000.0	9985	0	20.0	25676.83373905766	10000	10000	1000	1000	1	0.00866406911019636	1	0.0	0.00866406911019636	0.0	1
[8, 3]	sub(div(div(1, 0), mul(X8, X3)), cos(add(-4, X3)))	None	0.00866199648764459	13098075.946547868	1	1000.0	9985	0	20.0	25682.977632644033	10000	10000	1000	1000	1	0.00866199648764459	1	0.0	0.00866199648764459	0.0	1
[3, 7]	div(add(cos(sin(1)), mul(X7, X3)), add(X3, sin(add(X3, -2))))	None	0.0076034004019193135	17035497.14943616	1	1000.0	9985	0	20.0	29258.732972955167	10000	10000	1000	1000	1	0.0076034004019193135	1	0.0	0.0076034004019193135	0.0	1
[8, 1]	sub(div(sub(3, 5), X8), sub(X1, sub(0, 2)))	None	0.007807952066459632	16147942.972002542	1	1000.0	9985	0	20.0	28492.21667251988	10000	10000	1000	1000	1	0.007807952066459632	1	0.0	0.007807952066459632	0.0	1
[3]	cos(cos(cos(mul(X3, -4))))	None	0.008663586657159567	13093226.175490173	1	1000.0	9985	0	20.0	25678.2636164171	10000	10000	1000	1000	1	0.008663586657159567	1	0.0	0.008663586657159567	0.0	1
[11, 5]	div(add(X5, X11), sub(3, 5))	None	0.008172124248965245	14729998.352722673	1	1000.0	9985	0	20.0	27222.52565780382	10000	10000	1000	1000	1	0.008172124248965245	1	0.0	0.008172124248965245	0.0	1
[6]	cos(cos(sin(sin(X6))))	None	0.008663260327257423	13094221.212796187	1	1000.0	9985	0	20.0	25679.23087180787	10000	10000	1000	1000	1	0.008663260327257423	1	0.0	0.008663260327257423	0.0	1
[4]	sin(cos(X4))	None	0.008658967930951684	13107319.988916028	1	1000.0	9985	0	20.0	25691.96049924238	10000	10000	1000	1000	1	0.008658967930951684	1	0.0	0.008658967930951684	0.0	1
[16, 2]	add(cos(div(4, X16)), mul(sin(4), cos(X2)))	None	0.008666390733005572	13084680.700288726	1	1000.0	9985	0	20.0	25669.95522126248	10000	10000	1000	1000	1	0.008666390733005572	1	0.0	0.008666390733005572	0.0	1
[5]	sin(add(div(X5, -1), -6))	None	0.00865953391113723	13105591.712480208	1	1000.0	9985	0	20.0	25690.281293326723	10000	10000	1000	1000	1	0.00865953391113723	1	0.0	0.00865953391113723	0.0	1
[6]	div(sin(X6), cos(-1))	None	0.008661367195366828	13099995.930552416	1	1000.0	9985	0	20.0	25684.843631294083	10000	10000	1000	1000	1	0.008661367195366828	1	0.0	0.008661367195366828	0.0	1
[8]	mul(cos(X8), sin(-5))	None	0.008658699403128087	13108140.08405479	1	1000.0	9985	0	20.0	25692.757270895443	10000	10000	1000	1000	1	0.008658699403128087	1	0.0	0.008658699403128087	0.0	1
[2, 6]	sin(div(add(add(3, X2), X6), X2))	None	0.008660933681112589	13101318.835857429	1	1000.0	9985	0	20.0	25686.129260100635	10000	10000	1000	1000	1	0.008660933681112589	1	0.0	0.008660933681112589	0.0	1
[5, 15]	sin(add(X15, X5))	None	0.008658500406530842	13108747.877304707	1	1000.0	9985	0	20.0	25693.347762439094	10000	10000	1000	1000	1	0.008658500406530842	1	0.0	0.008658500406530842	0.0	1
[18, 15]	sin(sub(sub(X15, X18), div(-3, -3)))	None	0.008658245285668878	13109527.151799072	1	1000.0	9985	0	20.0	25694.104833740683	10000	10000	1000	1000	1	0.008658245285668878	1	0.0	0.008658245285668878	0.0	1
[19, 17, 10, 3]	div(sin(mul(div(X3, X17), cos(X19))), sub(add(cos(4), add(-6, 5)), cos(sin(X10))))	None	0.008658931507218009	13107431.224027487	1	1000.0	9985	0	20.0	25692.06857229112	10000	10000	1000	1000	1	0.008658931507218009	1	0.0	0.008658931507218009	0.0	1
[16]	cos(sin(X16))	None	0.00866406105264389	13091779.86127222	1	1000.0	9985	0	20.0	25676.857618440998	10000	10000	1000	1000	1	0.00866406105264389	1	0.0	0.00866406105264389	0.0	1
[16, 8, 19, 14]	sin(div(mul(X14, X16), mul(X8, X19)))	None	0.008660067114333371	13103963.834701825	1	1000.0	9985	0	20.0	25688.699534211635	10000	10000	1000	1000	1	0.008660067114333371	1	0.0	0.008660067114333371	0.0	1
[1, 4, 7, 8, 11, 12, 13]	sub(add(cos(add(X13, -2)), -5), div(cos(mul(X1, X11)), div(sub(X12, X4), div(X8, X7))))	None	0.00861602107461225	13239460.476295795	1	1000.0	9985	0	20.0	25820.022968807432	10000	10000	1000	1000	1	0.00861602107461225	1	0.0	0.00861602107461225	0.0	1
[2, 3, 8, 11, 15, 19]	div(sin(add(cos(X2), add(X11, 3))), sub(mul(add(X15, X8), div(-1, X3)), mul(mul(2, X19), div(-5, 5))))	None	0.008659085757365693	13106960.166301914	1	1000.0	9985	0	20.0	25691.61090210715	10000	10000	1000	1000	1	0.008659085757365693	1	0.0	0.008659085757365693	0.0	1
[8, 9, 4]	div(sub(sub(2, X4), mul(X8, X9)), add(cos(-1), X8))	None	0.0061789190359792315	25869700.4755671	1	1000.0	9985	0	20.0	36004.00988438602	10000	10000	1000	1000	1	0.0061789190359792315	1	0.0	0.0061789190359792315	0.0	1
[]	sin(cos(mul(cos(5), 4)))	None	0.00866172544464219	13098902.85300776	1	1000.0	9985	0	20.0	25683.781305239365	10000	10000	1000	1000	1	0.00866172544464219	1	0.0	0.00866172544464219	0.0	1
[0, 13]	div(add(sin(sin(2)), sin(div(5, -6))), mul(mul(X13, add(-1, 5)), X0))	None	0.008659168997398653	13106705.97372328	1	1000.0	9985	0	20.0	25691.36393030894	10000	10000	1000	1000	1	0.008659168997398653	1	0.0	0.008659168997398653	0.0	1
[13]	sin(cos(X13))	None	0.008659772296022786	13104863.882385574	1	1000.0	9985	0	20.0	25689.574095197644	10000	10000	1000	1000	1	0.008659772296022786	1	0.0	0.008659772296022786	0.0	1
[5]	sin(sin(cos(X5)))	None	0.008658618527711567	13108387.095934013	1	1000.0	9985	0	20.0	25692.997252878617	10000	10000	1000	1000	1	0.008658618527711567	1	0.0	0.008658618527711567	0.0	1
[8, 17]	mul(add(add(1, -4), mul(X17, X8)), mul(4, 0))	None	0.008659168955390173	13106706.102003979	1	1000.0	9985	0	20.0	25691.364054946207	10000	10000	1000	1000	1	0.008659168955390173	1	0.0	0.008659168955390173	0.0	1
[4, 6]	cos(div(mul(X4, X6), sin(3)))	None	0.008657875660383391	13110656.306128906	1	1000.0	9985	0	20.0	25695.201776132446	10000	10000	1000	1000	1	0.008657875660383391	1	0.0	0.008657875660383391	0.0	1
[16, 1, 9, 14]	sub(add(div(-6, 1), X16), add(X1, add(X9, X14)))	None	0.006105448032666409	26499979.743836492	1	1000.0	9985	0	20.0	36437.27059110853	10000	10000	1000	1000	1	0.006105448032666409	1	0.0	0.006105448032666409	0.0	1
[10]	cos(cos(X10))	None	0.008663281190966732	13094157.592299959	1	1000.0	9985	0	20.0	25679.169028725973	10000	10000	1000	1000	1	0.008663281190966732	1	0.0	0.008663281190966732	0.0	1
[0, 5, 6, 12, 18]	sub(cos(mul(cos(X12), mul(-2, X0))), div(mul(cos(-3), add(5, X18)), sub(sin(X6), sub(-2, X5))))	None	0.008614030555684727	13245633.087199679	1	1000.0	9985	0	20.0	25825.98942598404	10000	10000	1000	1000	1	0.008614030555684727	1	0.0	0.008614030555684727	0.0	1
[3, 4, 7]	add(div(div(-4, X7), sin(X4)), cos(sub(X3, 4)))	None	0.008532566576007188	13501982.351504015	1	1000.0	9985	0	20.0	26072.56094218722	10000	10000	1000	1000	1	0.008532566576007188	1	0.0	0.008532566576007188	0.0	1
[5, 15]	add(add(X5, 1), mul(-2, X15))	None	0.00567538200071661	30694897.4709747	1	1000.0	9985	0	20.0	39198.39440202038	10000	10000	1000	1000	1	0.00567538200071661	1	0.0	0.00567538200071661	0.0	1
[2]	sin(sin(X2))	None	0.008660318665837443	13103195.948676359	1	1000.0	9985	0	20.0	25687.953368711864	10000	10000	1000	1000	1	0.008660318665837443	1	0.0	0.008660318665837443	0.0	1
[0, 11, 4, 14]	mul(sin(sub(sin(0), sin(X11))), sin(sub(div(X0, X14), sin(X4))))	None	0.008657837397437427	13110773.202442322	1	1000.0	9985	0	20.0	25695.315334989235	10000	10000	1000	1000	1	0.008657837397437427	1	0.0	0.008657837397437427	0.0	1
[12]	sub(sin(X12), sin(-6))	None	0.008657600578619406	13111496.737165509	1	1000.0	9985	0	20.0	25696.01820111837	10000	10000	1000	1000	1	0.008657600578619406	1	0.0	0.008657600578619406	0.0	1
[19, 5]	div(mul(-2, -1), mul(X19, X5))	None	0.008659218451833678	13106554.95671717	1	1000.0	9985	0	20.0	25691.217202068365	10000	10000	1000	1000	1	0.008659218451833678	1	0.0	0.008659218451833678	0.0	1
[8, 2]	sin(div(X8, X2))	None	0.008656411572683324	13115130.3177587	1	1000.0	9985	0	20.0	25699.54769112913	10000	10000	1000	1000	1	0.008656411572683324	1	0.0	0.008656411572683324	0.0	1
[13, 7]	add(cos(X7), div(-1, X13))	None	0.008657723909527733	13111119.926086765	1	1000.0	9985	0	20.0	25695.652156497606	10000	10000	1000	1000	1	0.008657723909527733	1	0.0	0.008657723909527733	0.0	1
[12]	sin(mul(sin(cos(5)), sin(div(-2, X12))))	None	0.008659179336626492	13106674.401027253	1	1000.0	9985	0	20.0	25691.333254322817	10000	10000	1000	1000	1	0.008659179336626492	1	0.0	0.008659179336626492	0.0	1
[0, 4, 6]	cos(sin(sub(cos(X6), mul(X4, X0))))	None	0.008663289009767072	13094133.750255732	1	1000.0	9985	0	20.0	25679.145852736427	10000	10000	1000	1000	1	0.008663289009767072	1	0.0	0.008663289009767072	0.0	1
[8]	cos(mul(div(add(X8, 1), sin(-3)), cos(sin(-3))))	None	0.008658249363706972	13109514.69476335	1	1000.0	9985	0	20.0	25694.09273180946	10000	10000	1000	1000	1	0.008658249363706972	1	0.0	0.008658249363706972	0.0	1
[9, 15]	sin(cos(mul(X9, X15)))	None	0.008657530937131038	13111709.518897552	1	1000.0	9985	0	20.0	25696.22490080742	10000	10000	1000	1000	1	0.008657530937131038	1	0.0	0.008657530937131038	0.0	1
[19, 18, 3, 4]	sub(add(sin(X3), X19), div(X18, add(1, X4)))	None	0.016801456934844482	3424432.1554433815	1	1000.0	9985	0	20.0	13240.867319360026	10000	10000	1000	1000	1	0.016801456934844482	1	0.0	0.016801456934844482	0.0	1
[17, 6]	add(sin(div(mul(4, X6), sin(X17))), cos(4))	None	0.008655014122800382	13119402.819321007	1	1000.0	9985	0	20.0	25703.69717366065	10000	10000	1000	1000	1	0.008655014122800382	1	0.0	0.008655014122800382	0.0	1
[8, 19, 5]	sub(sin(add(X5, X19)), sub(sub(-5, X5), div(X8, X5)))	None	0.0070093084566632555	20069659.769258197	1	1000.0	9985	0	20.0	31738.632052172645	10000	10000	1000	1000	1	0.0070093084566632555	1	0.0	0.0070093084566632555	0.0	1
[0, 5, 14]	sub(div(sub(cos(1), div(5, X0)), div(X5, X14)), sin(-3))	None	0.006787250871787129	21413949.16298203	1	1000.0	9985	0	20.0	32777.02065956498	10000	10000	1000	1000	1	0.006787250871787129	1	0.0	0.006787250871787129	0.0	1
[10, 6]	cos(add(sin(X6), cos(X10)))	None	0.008662528751070476	13096452.327188047	1	1000.0	9985	0	20.0	25681.399558844278	10000	10000	1000	1000	1	0.008662528751070476	1	0.0	0.008662528751070476	0.0	1
[1, 2, 5, 9, 10, 11, 12, 14, 15]	div(add(cos(div(X15, X10)), div(sub(-3, -3), div(X12, X5))), add(div(sin(X11), mul(X15, X1)), add(cos(X2), add(X9, X14))))	None	0.00865911695427692	13106864.89849954	1	1000.0	9985	0	20.0	25691.518340832274	10000	10000	1000	1000	1	0.00865911695427692	1	0.0	0.00865911695427692	0.0	1
[9, 11]	sub(sin(X9), sub(X11, 2))	None	0.007771096972882072	16302683.243946359	1	1000.0	9985	0	20.0	28627.34345260797	10000	10000	1000	1000	1	0.007771096972882072	1	0.0	0.007771096972882072	0.0	1
[]	cos(sin(5))	None	0.008662720240900923	13095868.27894322	1	1000.0	9985	0	20.0	25680.83187032261	10000	10000	1000	1000	1	0.008662720240900923	1	0.0	0.008662720240900923	0.0	1
[4, 13]	sin(sin(add(sub(-5, X4), mul(X13, X13))))	None	0.008656837755906605	13113827.736901231	1	1000.0	9985	0	20.0	25698.282481316874	10000	10000	1000	1000	1	0.008656837755906605	1	0.0	0.008656837755906605	0.0	1
[19]	mul(mul(cos(-6), -5), cos(add(5, X19)))	None	0.008672845440841024	13065041.435615335	1	1000.0	9985	0	20.0	25650.850526934355	10000	10000	1000	1000	1	0.008672845440841024	1	0.0	0.008672845440841024	0.0	1
[10]	div(sub(-1, -4), add(X10, -1))	None	0.00866211299146666	13097720.536970196	1	1000.0	9985	0	20.0	25682.632201331915	10000	10000	1000	1000	1	0.00866211299146666	1	0.0	0.00866211299146666	0.0	1
[17, 6]	sub(mul(cos(4), cos(X17)), cos(sub(X6, 5)))	None	0.008659983309128092	13104219.673343029	1	1000.0	9985	0	20.0	25688.948131311765	10000	10000	1000	1000	1	0.008659983309128092	1	0.0	0.008659983309128092	0.0	1
[17, 14]	sin(cos(mul(mul(X14, 1), cos(X17))))	None	0.0086594266487017	13105919.222826904	1	1000.0	9985	0	20.0	25690.59951325661	10000	10000	1000	1000	1	0.0086594266487017	1	0.0	0.0086594266487017	0.0	1
[6]	sin(sub(X6, -5))	None	0.008659290905162091	13106333.713607173	1	1000.0	9985	0	20.0	25691.00224056428	10000	10000	1000	1000	1	0.008659290905162091	1	0.0	0.008659290905162091	0.0	1
[]	add(mul(-3, -1), cos(-4))	None	0.008672335111062994	13066592.577529993	1	1000.0	9985	0	20.0	25652.359969626323	10000	10000	1000	1000	1	0.008672335111062994	1	0.0	0.008672335111062994	0.0	1
[11]	cos(cos(sub(X11, -6)))	None	0.00866403086676145	13091871.883445848	1	1000.0	9985	0	20.0	25676.947077795125	10000	10000	1000	1000	1	0.00866403086676145	1	0.0	0.00866403086676145	0.0	1
[9, 3, 1]	sub(add(cos(-5), sub(X3, X3)), sin(sub(X9, X1)))	None	0.00866343364241275	13093692.730342364	1	1000.0	9985	0	20.0	25678.717149412005	10000	10000	1000	1000	1	0.00866343364241275	1	0.0	0.00866343364241275	0.0	1
[9]	mul(sin(div(3, X9)), cos(sub(-6, -5)))	None	0.008659227672369043	13106526.800628632	1	1000.0	9985	0	20.0	25691.18984549735	10000	10000	1000	1000	1	0.008659227672369043	1	0.0	0.008659227672369043	0.0	1
[]	cos(cos(-1))	None	0.008664392807212797	13090768.565408282	1	1000.0	9985	0	20.0	25675.874466474135	10000	10000	1000	1000	1	0.008664392807212797	1	0.0	0.008664392807212797	0.0	1
