Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	RMSE	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	1000	1000	223153.6633472308	4.48119696447477e-06	0	1000	0.8706999999999996	0.0	1.2295403003692627
2	200	1000	1000	7958.767619423926	0.00012563180834070296	0	1000	0.8714499999999995	0.0	2.462774844964345
3	300	1000	1000	585.3340786910939	0.0017055123287944571	0	1000	0.8730999999999997	0.0	3.6338648637135824
4	400	998	1000	1341.7040712499347	0.0007447657465349691	0	998	0.8744499999999996	0.0	4.8182048320770265
5	500	996	1000	300.94926405582584	0.0033118146623967765	0	996	0.8747499999999997	0.0	5.988729465007782
6	600	996	1000	157.97191792990677	0.006290419169761264	0	996	0.8756499999999998	0.0	7.179106414318085
7	700	995	1000	90.7488526786425	0.010899318855818043	0	995	0.8762999999999997	0.0	8.389546430110931
8	800	993	1000	81.48440513315965	0.01212350381124333	0	993	0.8769999999999994	0.0	9.608672797679901
9	900	993	1000	38.380220656934824	0.025393458526086262	0	993	0.8781999999999993	0.0	21.231055883566537
10	1000	989	1000	33.896677813830905	0.028656022941062353	0	989	0.8792999999999994	0.0	22.752071948846183
11	1100	989	1000	43.41653308858064	0.02251413900327797	0	989	0.8795999999999996	0.9443882709807887	22.885347231229147
12	1200	984	1000	37.74955154313597	0.025806750276498057	0	984	0.8808499999999997	0.9471544715447154	23.00690050125122
13	1300	983	1000	33.095192201113704	0.029329648417917863	0	983	0.8813499999999995	0.9501525940996948	23.125859065850577
14	1400	982	1000	36.48818451839459	0.026675071435089716	0	982	0.8823499999999997	0.9490835030549898	23.24475293159485
15	1500	982	1000	28.6711364988581	0.03370278722011492	0	982	0.8826999999999999	0.945010183299389	23.362351381778716
16	1600	981	1000	29.357020118109233	0.0329413096578428	0	981	0.8829999999999998	0.9520897043832823	23.481187796592714
17	1700	977	1000	27.380208522506827	0.035235822851934065	0	977	0.88435	0.9529170931422722	23.59544676542282
18	1800	975	1000	24.397726061672447	0.03937360366718396	0	975	0.8856000000000003	0.9528205128205128	23.708122499783833
19	1900	971	1000	17.830380129953284	0.053105672487689756	0	971	0.8864000000000001	0.9588053553038105	23.816226931413016
20	2000	968	1000	13.511467646986924	0.06891101743300472	0	968	0.8870500000000002	0.9576446280991735	23.921365594863893
21	2100	967	1000	13.130630677278502	0.07076824968668671	0	967	0.8878000000000003	0.9565667011375388	24.028914018472037
22	2200	963	1000	23.49295226496991	0.04082807124195522	0	963	0.8889000000000001	0.9574247144340602	24.134553651014965
23	2300	957	1000	11.218798203172806	0.08184110936052075	0	957	0.8896000000000001	0.9602925809822361	24.23756344715754
24	2400	954	1000	7.881105515757759	0.11259859464857144	0	954	0.8905499999999998	0.9643605870020965	24.335368931293488
25	2500	950	1000	8.554522640746649	0.10466247635809191	0	950	0.8912999999999999	0.9663157894736842	24.432457800706228
26	2600	947	1000	7.558799016935644	0.11683882259897203	0	947	0.8917999999999998	0.9672650475184794	24.525853578249613
27	2700	942	1000	5.871611339138053	0.14552627479153032	0	942	0.8929499999999998	0.9681528662420382	24.61718096335729
28	2800	939	1000	6.280814512930839	0.1373472704494785	0	939	0.8935499999999995	0.9744408945686901	24.70489351352056
29	2900	937	1000	5.1978316339350075	0.16134675142265834	0	937	0.8943499999999995	0.9722518676627535	24.78920318285624
30	3000	931	1000	3.136594610732353	0.2417447427421363	0	931	0.8950499999999996	0.9752953813104189	24.872722164789835
31	3100	927	1000	5.511742243809177	0.1535687320779192	0	927	0.8958	0.9762675296655879	24.95478438138962
32	3200	926	1000	4.036943572835323	0.19853309562431617	0	926	0.89595	0.9773218142548596	25.033101348082223
33	3300	925	1000	2.173386292700798	0.3151207914082601	0	925	0.8961	0.9762162162162162	25.111978181203206
34	3400	923	1000	2.2765149264748032	0.3052023331008897	0	923	0.8966000000000003	0.9750812567713976	25.19290633201599
35	3500	919	1000	2.1385642646244882	0.31861702220701366	0	919	0.8970500000000002	0.9771490750816104	25.273403914769492
36	3600	916	1000	2.3530371607662186	0.29823707643355946	0	916	0.8975500000000001	0.9792576419213974	25.350740432739258
37	3700	910	1000	1.952136925144499	0.3387376755741276	0	910	0.8987500000000003	0.9802197802197802	25.42701878150304
38	3800	904	1000	2.4682617897818404	0.28832886921805917	0	904	0.8993000000000001	0.9800884955752213	25.500734396775563
39	3900	903	1000	2.340345480561974	0.29937023155813264	0	903	0.8999500000000001	0.9811738648947951	25.57411129872004
40	4000	901	1000	1.6604222535160715	0.3758801816810765	0	901	0.9000500000000001	0.9833518312985572	25.64507321516673
41	4100	896	1000	2.0188018325049137	0.3312572522093075	0	896	0.9008500000000004	0.9877232142857143	25.713140082359313
42	4200	891	1000	1.7494661611474382	0.3637069676037288	0	891	0.9016500000000002	0.9876543209876543	25.78004026412964
43	4300	887	1000	1.5970982847291986	0.3850451120313573	0	887	0.9021500000000002	0.9887260428410372	25.844334451357522
44	4400	881	1000	1.5704051467139382	0.3890437277090041	0	881	0.9028500000000002	0.9931895573212258	25.905689545472462
45	4500	881	1000	1.5225335009367622	0.3964268461166689	0	881	0.9036500000000004	0.9841089670828603	25.9700349966685
46	4600	878	1000	1.6858744124967513	0.37231822729582276	0	878	0.9046000000000006	0.979498861047836	26.039911997318267
47	4700	876	1000	1.3471434481985953	0.42604980141605236	0	876	0.9047500000000005	0.9817351598173516	26.109510163466137
48	4800	875	1000	1.5292403218678952	0.39537563566181	0	875	0.9048500000000005	0.9805714285714285	26.179285577932994
49	4900	874	1000	1.5052490813443757	0.39916190667291906	0	874	0.9050000000000005	0.9839816933638444	26.24832943280538
50	5000	872	1000	1.4319028365728819	0.4112006388418186	0	872	0.9051500000000006	0.9839449541284404	26.314846845467887
51	5100	870	1000	1.509522630995535	0.39848216057063296	0	870	0.9054500000000005	0.9827586206896551	26.381888000170388
52	5200	865	1000	1.5593982786104177	0.3907168369836262	0	865	0.9059000000000007	0.9803468208092485	26.4511496980985
53	5300	859	1000	1.4899421132084145	0.40161576234856733	0	859	0.9067500000000006	0.9778812572759022	26.52375731468201
54	5400	857	1000	1.197103227827759	0.455144750294088	0	857	0.9068000000000003	0.9778296382730455	26.596455097198486
55	5500	855	1000	1.273265652807923	0.43989579430138603	0	855	0.9069500000000004	0.9871345029239766	26.663480933507284
56	5600	851	1000	1.331425670131207	0.4289221023905611	0	851	0.9081500000000005	0.9870740305522914	26.728178016344707
57	5700	850	1000	1.0848013571957513	0.4796620054704356	0	850	0.9084000000000005	0.9847058823529412	26.793125979105632
58	5800	849	1000	1.1936974953745678	0.4558513660650612	0	849	0.9088500000000008	0.9787985865724381	26.86074776649475
59	5900	845	1000	1.097909217148219	0.47666504910033447	0	845	0.9092500000000009	0.9763313609467456	26.932560582955677
60	6000	845	1000	0.9529212649867649	0.5120534134829942	0	845	0.9096500000000011	0.9715976331360947	27.004712200164796
61	6100	841	1000	1.1773096752179288	0.4592823939478931	0	841	0.9103000000000013	0.9702734839476813	27.081377800305685
62	6200	838	1000	1.0181280352446282	0.49550870040749645	0	838	0.9115000000000012	0.9689737470167065	27.158737099170686
63	6300	835	1000	1.2684795577603516	0.4408238974775203	0	835	0.9119000000000014	0.9700598802395209	27.234371248881022
64	6400	835	1000	1.015269123871129	0.49621164148989716	0	835	0.9120000000000015	0.9676646706586827	27.309641563892363
65	6500	832	1000	0.9042516387237499	0.5251406797634218	0	832	0.9127500000000017	0.9663461538461539	27.38518653313319
66	6600	831	1000	0.8751449603081338	0.5332921033665977	0	831	0.9128000000000018	0.9687123947051745	27.462050779660544
67	6700	829	1000	0.8186788882044651	0.5498496774146173	0	829	0.9133000000000019	0.9662243667068757	27.538407945632933
68	6800	829	1000	1.0248862848152227	0.49385489323478393	0	829	0.9137000000000022	0.9686369119420989	27.615934801101684
69	6900	827	1000	0.9185102388967644	0.5212377707064247	0	827	0.9142500000000022	0.9673518742442564	27.69285811583201
70	7000	831	1000	0.7691336235203233	0.5652484282165995	0	831	0.9144000000000028	0.9602888086642599	27.776216900348665
71	7100	829	1000	0.9134543922178006	0.5226150171475705	0	829	0.9151500000000031	0.9517490952955368	27.86492968002955
72	7200	827	1000	0.8017675619362536	0.5550105469350102	0	827	0.9154000000000033	0.9504232164449818	27.957807731628417
73	7300	827	1000	0.9885785008744084	0.5028717747678981	0	827	0.9166500000000035	0.9407496977025392	28.056325630346933
74	7400	824	1000	0.8489305725406453	0.540853190948043	0	824	0.9176500000000036	0.9381067961165048	28.15920019944509
75	7500	823	1000	0.8491124312331177	0.5407999984798815	0	823	0.9181500000000039	0.9331713244228432	28.26550134817759
76	7600	824	1000	0.8128784974142723	0.5516089475529168	0	824	0.9184500000000043	0.9247572815533981	28.379192531108856
77	7700	826	1000	0.8063407978992353	0.5536053889515172	0	826	0.9189500000000047	0.9213075060532687	28.498203865687053
78	7800	823	1000	0.9030811452657778	0.5254636684765974	0	823	0.9192000000000049	0.9222357229647631	28.616103931268057
79	7900	821	1000	0.821907225999973	0.5488753684760976	0	821	0.9195500000000051	0.9208282582216809	28.73600171407064
80	8000	824	1000	0.7308196929245135	0.5777609326309029	0	824	0.920050000000005	0.9199029126213593	28.85919186671575
81	8100	825	1000	0.660845349732331	0.6021030195021856	0	825	0.9204500000000053	0.926060606060606	28.980182512601218
82	8200	825	1000	0.6833010474580853	0.5940708000568747	0	825	0.9208000000000055	0.926060606060606	29.097008550167082
83	8300	826	1000	0.784551548534841	0.560364871959582	0	826	0.921300000000006	0.9200968523002422	29.22453173001607
84	8400	827	1000	0.7763355790639831	0.5629566911714604	0	827	0.9216000000000061	0.9141475211608222	29.35145504872004
85	8500	827	1000	0.8131490260770063	0.5515266454206665	0	827	0.9223000000000064	0.9081015719467956	29.48372278213501
86	8600	828	1000	0.7965904152626772	0.5566098936656028	0	828	0.9225500000000068	0.9094202898550725	29.617825496196748
87	8700	829	1000	0.6630193386010133	0.6013159178541081	0	829	0.9228500000000072	0.9059107358262968	29.751718147595724
88	8800	830	1000	0.6756944140660524	0.5967675201431937	0	830	0.9228000000000073	0.9060240963855422	29.885556598504383
89	8900	830	1000	0.6124428018847288	0.6201770374931344	0	830	0.9228000000000075	0.9036144578313253	30.015783194700877
90	9000	832	1000	0.671788278990733	0.5981618680827844	0	832	0.9227500000000075	0.9134615384615384	30.142018830776216
91	9100	830	1000	0.6143559820838252	0.6194420630257714	0	830	0.9228500000000075	0.9144578313253012	30.26322364807129
92	9200	831	1000	0.5901274598755673	0.6288804043911381	0	831	0.9231500000000076	0.910950661853189	30.38751324812571
93	9300	832	1000	0.6263374531749895	0.614878540765182	0	832	0.9233000000000079	0.921875	30.504683232307436
94	9400	833	1000	0.5710135401177028	0.6365317512954589	0	833	0.9233500000000081	0.929171668667467	30.61631631453832
