Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[5]	cos(mul(2, X5))	None	0.4977883688043756	1017.850616232103	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.4977883688043756	1	0.0	0.4977883688043756	0.0	1
[5]	sin(add(div(X5, -1), -6))	None	0.5060113937693143	953.0447042027263	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.5060113937693143	1	0.0	0.5060113937693143	0.0	1
[]	sin(cos(3))	None	0.48269165741457815	1148.5750526272793	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.48269165741457815	1	0.0	0.48269165741457815	0.0	1
[8]	cos(mul(div(add(X8, 1), sin(-3)), cos(sin(-3))))	None	0.5030706565194909	975.7337167480451	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.5030706565194909	1	0.0	0.5030706565194909	0.0	1
[17, 6]	sub(mul(cos(4), cos(X17)), cos(sub(X6, 5)))	None	0.4678634731194787	1293.6233936687572	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.4678634731194787	1	0.0	0.4678634731194787	0.0	1
[1, 3, 10, 11, 17]	mul(mul(sin(div(X17, -2)), sin(sub(-6, X10))), mul(sub(sub(3, 3), cos(4)), div(sub(X11, X3), mul(X1, 5))))	None	0.3440532560140281	3634.8443368019884	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.3440532560140281	1	0.0	0.3440532560140281	0.0	1
[19, 4, 5, 7]	sin(add(mul(add(X7, X19), add(1, 5)), mul(mul(-3, X4), add(2, X5))))	None	0.49596690322307496	1032.791648240009	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.49596690322307496	1	0.0	0.49596690322307496	0.0	1
[0, 9, 13, 6]	div(sin(add(mul(X13, X9), X0)), add(X6, X6))	None	0.4477115201874076	1521.7223868002652	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.4477115201874076	1	0.0	0.4477115201874076	0.0	1
[16]	sin(cos(X16))	None	0.509727820547287	925.1194767168628	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.509727820547287	1	0.0	0.509727820547287	0.0	1
[11]	sin(mul(X11, -1))	None	0.49993450809358003	1000.5240725324053	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.49993450809358003	1	0.0	0.49993450809358003	0.0	1
[]	sin(sub(sin(3), sin(-4)))	None	0.5286884163008897	794.7245655220571	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.5286884163008897	1	0.0	0.5286884163008897	0.0	1
[3, 7]	cos(div(cos(sin(X7)), cos(cos(X3))))	None	0.5226992950280169	833.8353885115055	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.5226992950280169	1	0.0	0.5226992950280169	0.0	1
[3, 16, 19, 8]	sin(sub(cos(add(X19, X3)), sub(sub(X16, X19), X8)))	None	0.4919375384389641	1066.6312139000988	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.4919375384389641	1	0.0	0.4919375384389641	0.0	1
[9, 19, 5]	mul(sub(sub(mul(-1, 4), sin(-6)), sin(sub(X9, -3))), add(sin(cos(-4)), cos(div(X5, X19))))	None	0.25167477314320735	8841.00019985003	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.25167477314320735	1	0.0	0.25167477314320735	0.0	1
[]	div(sin(3), cos(-6))	None	0.5821503988657841	515.1925629700884	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.5821503988657841	1	0.0	0.5821503988657841	0.0	1
[0, 16, 2, 6]	cos(add(div(sub(X2, X6), sub(X0, -5)), mul(sub(2, X16), mul(5, -5))))	None	0.5019462400411316	984.5505868173955	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.5019462400411316	1	0.0	0.5019462400411316	0.0	1
[17]	sin(sin(X17))	None	0.520056438226154	851.6857597501914	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.520056438226154	1	0.0	0.520056438226154	0.0	1
[18, 7]	cos(add(X7, X18))	None	0.4931865568620584	1056.0240074483202	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.4931865568620584	1	0.0	0.4931865568620584	0.0	1
[3]	sin(sub(sin(X3), cos(3)))	None	0.49596918365970893	1032.7728054593258	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.49596918365970893	1	0.0	0.49596918365970893	0.0	1
[9, 18, 12]	div(cos(add(add(X12, X9), -3)), sub(sin(cos(X18)), -5))	None	0.58282158977648	512.3566614963796	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.58282158977648	1	0.0	0.58282158977648	0.0	1
[16, 9, 3, 1]	cos(div(sub(X9, X1), div(X16, X3)))	None	0.5013577451307369	989.196790635398	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.5013577451307369	1	0.0	0.5013577451307369	0.0	1
[0, 17, 5, 6]	cos(mul(sub(div(X6, 5), sin(X0)), add(sub(0, X17), add(0, X5))))	None	0.5095323586163112	926.567751128506	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.5095323586163112	1	0.0	0.5095323586163112	0.0	1
[]	sin(sin(mul(-2, -1)))	None	0.48308808582412893	1144.9339431633452	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.48308808582412893	1	0.0	0.48308808582412893	0.0	1
[19]	cos(sub(0, X19))	None	1.0	0.0	10	1000.0	29997	0	20.0	10000.0	30000	30000	1000	1000	1	1.0	1	0.0	1.0	0.0	1
[7]	sin(div(sin(cos(-1)), sin(sin(X7))))	None	0.501782323090529	985.842527928062	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.501782323090529	1	0.0	0.501782323090529	0.0	1
[14]	sin(sin(X14))	None	0.518927342003993	859.4255098053424	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.518927342003993	1	0.0	0.518927342003993	0.0	1
[17]	cos(sin(X17))	None	0.4841201537519289	1135.509568933693	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.4841201537519289	1	0.0	0.4841201537519289	0.0	1
[17, 9]	sin(mul(sin(X17), sin(X9)))	None	0.5458274780570305	692.3583276613392	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.5458274780570305	1	0.0	0.5458274780570305	0.0	1
[9, 19, 14, 1]	cos(mul(sin(add(X14, X9)), mul(cos(X19), div(X1, -5))))	None	0.4958233206532146	1033.978736940781	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.4958233206532146	1	0.0	0.4958233206532146	0.0	1
[17, 13, 15]	sub(sin(add(0, X13)), cos(div(X15, X17)))	None	0.4433457284230178	1576.4711782470276	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.4433457284230178	1	0.0	0.4433457284230178	0.0	1
[1, 2, 6, 9, 13]	div(div(div(X2, X13), div(X1, X9)), add(mul(X13, 3), mul(X6, 3)))	None	0.1627002981251096	26484.097357458126	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.1627002981251096	1	0.0	0.1627002981251096	0.0	1
[]	div(sin(1), cos(-3))	None	0.48022686093853706	1171.4797019673956	1	1000.0	29997	0	20.0	1000.0	30000	30000	1000	1000	1	0.48022686093853706	1	0.0	0.48022686093853706	0.0	1
[19]	cos(sub(X19, X19))	None	0.4589174775482535	1529.1514522035015	4	1000.0	29997	100	20.0	4000.0	29899	29900	999	1000	1	0.4589174775482535	1	0.0	0.4589174775482535	0.0	1
[19]	cos(add(1, X19))	None	0.6134243082488451	446.78608857631104	1	1000.0	29997	125	20.0	1000.0	29874	29875	999	1000	1	0.6134243082488451	1	0.0	0.6134243082488451	0.0	1
[]	cos(1)	None	0.5551255431824603	802.7910688040448	5	1000.0	29997	250	20.0	5000.0	29749	29750	999	1000	1	0.5551255431824603	1	0.0	0.5551255431824603	0.0	1
[17, 19]	cos(sub(mul(cos(-3), sin(X17)), X19))	None	0.7004773496598419	237.69196382935675	1	1000.0	29997	300	20.0	1000.0	29699	29700	999	1000	1	0.7004773496598419	1	0.0	0.7004773496598419	0.0	1
[19, 5, 14]	div(div(cos(add(1, X19)), mul(-1, X5)), add(div(1, 1), mul(X14, -1)))	None	0.6309265143348725	487.6216725490844	1	1000.0	29997	425	20.0	1000.0	29574	29575	999	1000	1	0.6309265143348725	1	0.0	0.6309265143348725	0.0	1
[19]	cos(sub(0, add(1, X19)))	None	0.6448391131177947	447.44487691770235	1	1000.0	29997	475	20.0	1000.0	29524	29525	999	1000	1	0.6448391131177947	1	0.0	0.6448391131177947	0.0	1
[19]	sin(add(cos(-2), X19))	None	0.5022499585787511	1448.6878267721459	1	1000.0	29997	475	20.0	1000.0	29524	29525	999	1000	1	0.5022499585787511	1	0.0	0.5022499585787511	0.0	1
[]	sin(5)	None	0.531060789917535	1359.850300099588	1	1000.0	29997	744	20.0	1000.0	29255	29256	999	1000	1	0.531060789917535	1	0.0	0.531060789917535	0.0	1
[8, 19]	sin(add(cos(add(X8, 5)), add(1, X19)))	None	0.6889985782104705	365.1119965211632	1	1000.0	29997	792	20.0	1000.0	29207	29208	999	1000	1	0.6889985782104705	1	0.0	0.6889985782104705	0.0	1
[]	cos(-2)	None	0.6272211283283177	641.4710546859806	2	1000.0	29997	816	20.0	2000.0	29183	29184	999	1000	1	0.6272211283283177	1	0.0	0.6272211283283177	0.0	1
[19]	cos(X19)	None	1.0	0.0	10	1000.0	29997	840	20.0	10000.0	29160	29160	1000	1000	1	1.0	1	0.0	1.0	0.0	1
[]	cos(sin(0))	None	0.5278250372023828	1531.6793914433665	1	1000.0	29997	914	20.0	1000.0	29085	29086	999	1000	1	0.5278250372023828	1	0.0	0.5278250372023828	0.0	1
[]	cos(sub(0, 1))	None	0.6246928836913822	803.1016101286499	2	1000.0	29997	1225	20.0	2000.0	28774	28775	999	1000	1	0.6246928836913822	1	0.0	0.6246928836913822	0.0	1
