Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 6]	cos(sub(X6, X1))	None	0.44553897044802004	1548.7119884505612	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.44553897044802004	1	0.0	0.44553897044802004	0.0	1
[5]	sin(add(div(X5, -1), -6))	None	0.44419447624758124	1565.6670435272156	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.44419447624758124	1	0.0	0.44419447624758124	0.0	1
[19]	sin(add(cos(-2), add(1, X19)))	None	0.7453467926609394	116.72974235896598	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.7453467926609394	1	0.0	0.7453467926609394	0.0	1
[0, 11, 4, 14]	mul(sin(sub(sin(0), sin(X11))), sin(sub(div(X0, X14), sin(X4))))	None	0.4770074770152546	1202.0999712758999	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.4770074770152546	1	0.0	0.4770074770152546	0.0	1
[16, 5]	sin(mul(mul(X5, -4), cos(X16)))	None	0.44685331244091936	1532.3242294372733	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.44685331244091936	1	0.0	0.44685331244091936	0.0	1
[9, 5, 14, 7]	sin(div(div(X9, X14), add(X5, X7)))	None	0.49130773374540754	1072.0204474968461	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.49130773374540754	1	0.0	0.49130773374540754	0.0	1
[4]	sin(cos(X4))	None	0.45534823300975874	1430.706408975927	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.45534823300975874	1	0.0	0.45534823300975874	0.0	1
[13]	cos(div(div(X13, 1), sin(1)))	None	0.44786592454914176	1519.8231661949578	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.44786592454914176	1	0.0	0.44786592454914176	0.0	1
[18]	cos(cos(sin(X18)))	None	0.45193409308265864	1470.6704433891655	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.45193409308265864	1	0.0	0.45193409308265864	0.0	1
[8, 16, 18]	cos(sub(mul(div(X18, X8), sin(-6)), sin(div(X16, 3))))	None	0.4474436792551692	1525.0228379161456	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.4474436792551692	1	0.0	0.4474436792551692	0.0	1
[14]	mul(cos(X14), cos(-6))	None	0.4482439896039806	1515.183371891174	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.4482439896039806	1	0.0	0.4482439896039806	0.0	1
[17, 10]	cos(mul(sub(3, 4), mul(X10, X17)))	None	0.44885202950943076	1507.75243544563	1	1000.0	29991	0	20.0	1000.0	30000	30000	1000	1000	1	0.44885202950943076	1	0.0	0.44885202950943076	0.0	1
