Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	RMSE	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	998	1000	71642.54481202655	1.395799164633369e-05	0	998	0.8707499999999995	0.0	1.3531698346138001
2	200	998	1000	42956.01247965751	2.3279086283608634e-05	0	998	0.8721999999999995	0.0	2.571578737099965
3	300	996	1000	661.5639174916985	0.001509288347282403	0	996	0.8735999999999996	0.0	3.723903818925222
4	400	994	1000	457.8603741780669	0.0021793121748445786	0	994	0.8746499999999996	0.0	4.880345582962036
5	500	992	1000	554.8599525146603	0.0017990142939351722	0	992	0.8757499999999999	0.0	6.035029832522074
6	600	991	1000	53.25104926063464	0.01843282321040037	0	991	0.8775000000000002	0.0	7.174141430854798
7	700	989	1000	132.07006190031714	0.007514838316894303	0	989	0.87825	0.0	8.315685184796651
8	800	989	1000	119.63278609463096	0.008289620362540124	0	989	0.8784499999999998	0.0	9.452439554532369
9	900	987	1000	49.75725197953229	0.019701618212176794	0	987	0.8795	0.0	10.59356249968211
10	1000	985	1000	37.18633602750772	0.026187377581332886	0	985	0.88005	0.0	11.731923683484395
11	1100	983	1000	42.81127089896358	0.022825176706381657	0	983	0.8804500000000001	0.9542217700915565	11.863954416910808
12	1200	982	1000	26.29061738997412	0.03664263016517078	0	982	0.8811500000000002	0.955193482688391	11.986406620343526
13	1300	979	1000	22.873718574985325	0.0418870649270278	0	979	0.8823500000000004	0.9560776302349336	12.109154335657756
14	1400	975	1000	39.91252119702759	0.024442394913385415	0	975	0.8831500000000004	0.9579487179487179	12.228646620114644
15	1500	970	1000	22.456237869208774	0.04263258266632389	0	970	0.8843500000000005	0.9587628865979382	12.346429586410522
16	1600	965	1000	17.626035655947035	0.05368828979347056	0	965	0.8854500000000006	0.9647668393782384	12.460529001553853
17	1700	964	1000	18.346315811469985	0.05168942809292522	0	964	0.8865000000000008	0.9636929460580913	12.57208756605784
18	1800	962	1000	16.001821383377415	0.05881722772230123	0	962	0.8871500000000008	0.9636174636174636	12.680652670065562
19	1900	961	1000	18.64555402942493	0.050902102251848394	0	961	0.8877500000000009	0.9646201873048907	12.78595580259959
20	2000	955	1000	16.649104816008947	0.05666009751910655	0	955	0.8889000000000006	0.9664921465968587	12.89212745030721
21	2100	952	1000	23.169835584150253	0.04137388508574571	0	952	0.8906500000000006	0.9590336134453782	13.00494999885559
22	2200	948	1000	15.726361456924357	0.05978586571713845	0	948	0.8917500000000007	0.959915611814346	13.122787284851075
23	2300	946	1000	10.131182998956625	0.08983771087886476	0	946	0.8923000000000009	0.9630021141649049	13.233561503887177
24	2400	943	1000	10.294452816279426	0.08853903914305926	0	943	0.8936000000000012	0.9597030752916225	13.343813769022624
25	2500	940	1000	9.21651533097539	0.09788073208955173	0	940	0.8944500000000013	0.9606382978723405	13.453390185038248
26	2600	938	1000	8.3368814940596	0.10710214118453035	0	938	0.8948500000000011	0.9637526652452025	13.560708216826121
27	2700	936	1000	7.372908362471225	0.11943281315273521	0	936	0.8955500000000011	0.9668803418803419	13.664943949381511
28	2800	931	1000	9.049901058061486	0.09950346717073937	0	931	0.8963000000000011	0.9677765843179377	13.767996033032736
29	2900	930	1000	4.890972504102314	0.16975125911784972	0	930	0.8964500000000012	0.9698924731182795	13.866900483767191
30	3000	928	1000	4.483791030569337	0.18235559933365625	0	928	0.8973000000000011	0.9655172413793104	13.968022767702738
31	3100	926	1000	3.9918007568362643	0.20032850843065028	0	926	0.8981500000000014	0.9665226781857451	14.072256882985434
32	3200	923	1000	3.160173717894577	0.24037457755636468	0	923	0.8991500000000014	0.9674972914409534	14.172812016805013
33	3300	921	1000	2.276858016280673	0.30517037815847403	0	921	0.8998500000000014	0.9652551574375678	14.275190619627635
34	3400	921	1000	3.2241971665593594	0.23673137416890688	0	921	0.9007000000000016	0.9641693811074918	14.38051172097524
35	3500	917	1000	2.723834793336465	0.2685403771911225	0	917	0.9020500000000017	0.960741548527808	14.488298948605856
36	3600	915	1000	1.8677657917880646	0.3487035108876501	0	915	0.9030000000000017	0.9551912568306011	14.600349299112956
37	3700	911	1000	1.725724161021872	0.36687498107845984	0	911	0.9035500000000016	0.9527991218441273	14.716204567750294
38	3800	908	1000	2.5050506742570904	0.2853025798869382	0	908	0.904800000000002	0.948237885462555	14.840690851211548
39	3900	905	1000	1.6773911582538459	0.37349790930518534	0	905	0.905900000000002	0.943646408839779	14.966350217660269
40	4000	903	1000	1.3195534322532247	0.4311174668774909	0	903	0.9064500000000019	0.9435215946843853	15.092530886332193
41	4100	901	1000	1.530318360262522	0.39520718645706276	0	901	0.906850000000002	0.9456159822419534	15.215261300404867
42	4200	900	1000	1.5969903858716907	0.3850611097523743	0	900	0.907350000000002	0.9433333333333334	15.338564550876617
43	4300	898	1000	1.8025085127853002	0.35682318017515685	0	898	0.9083500000000022	0.9409799554565702	15.46267961661021
44	4400	896	1000	1.69369072494891	0.371237867338674	0	896	0.9086500000000023	0.9430803571428571	15.589753715197245
45	4500	895	1000	1.461062780429785	0.40632852113807766	0	895	0.9097000000000023	0.9430167597765363	15.715409803390504
46	4600	893	1000	1.5498756184816227	0.39217599193935243	0	893	0.9104500000000026	0.9428891377379619	15.839618599414825
47	4700	893	1000	1.441646117434954	0.4095597608758061	0	893	0.9109500000000029	0.9406494960806271	15.964332381884256
48	4800	893	1000	1.526592398972248	0.39578999778784024	0	893	0.911150000000003	0.9451287793952967	16.087584682305653
49	4900	891	1000	1.2947049815927596	0.4357858670380791	0	891	0.9115000000000032	0.9438832772166106	16.210359632968903
50	5000	892	1000	1.2411422561631555	0.4462010375512726	0	892	0.9123500000000034	0.9394618834080718	16.336622234185537
51	5100	891	1000	1.4106602268250619	0.41482411700841015	0	891	0.9133000000000036	0.936026936026936	16.46587393283844
52	5200	890	1000	1.1700852459682436	0.460811390639091	0	890	0.9140500000000038	0.9337078651685393	16.598598515987398
53	5300	886	1000	1.2027963434763258	0.45396843106333556	0	886	0.9156000000000039	0.9311512415349887	16.736107087135316
54	5400	885	1000	1.2064307431835828	0.45322066105602504	0	885	0.9162500000000041	0.9265536723163842	16.876652399698894
55	5500	882	1000	1.131606266261656	0.4691297899746601	0	882	0.9170000000000043	0.9251700680272109	17.02181355158488
56	5600	882	1000	1.1604139576500891	0.46287425447283875	0	882	0.9175500000000044	0.9251700680272109	17.16424593528112
57	5700	881	1000	1.0910975429313665	0.4782177681669352	0	881	0.9184000000000045	0.923950056753689	17.310980351765952
58	5800	880	1000	1.0986370214071886	0.47649974235633896	0	880	0.919450000000005	0.9147727272727273	17.48111295302709
59	5900	876	1000	1.0348620289377113	0.49143381014487975	0	876	0.920100000000005	0.9166666666666666	17.650271300474802
60	6000	874	1000	0.8984300320505111	0.5267510432922783	0	874	0.9209000000000053	0.914187643020595	17.809126218159992
61	6100	872	1000	1.0232834129838646	0.49424613160112674	0	872	0.9219000000000053	0.9128440366972477	17.967349183559417
62	6200	871	1000	0.9782969646887878	0.5054852824673434	0	871	0.9222500000000056	0.9115958668197475	18.126743817329405
63	6300	870	1000	0.9970231118083271	0.5007453314320878	0	870	0.9232500000000057	0.9114942528735632	18.280266551176705
64	6400	868	1000	0.9889179600397413	0.502785946977933	0	868	0.9238000000000058	0.9124423963133641	18.429174101352693
65	6500	867	1000	0.9319261365706191	0.5176181330488699	0	867	0.9245500000000063	0.9123414071510957	18.578783782323203
66	6600	863	1000	0.9229072475152489	0.5200458843203095	0	863	0.9254000000000064	0.9096176129779838	18.731462450822196
67	6700	864	1000	0.8415207989972464	0.5430294355320476	0	864	0.9256500000000071	0.9050925925925926	18.877632999420165
68	6800	865	1000	0.9626091704026813	0.5095257961088725	0	865	0.9258500000000073	0.9098265895953758	19.023063202699024
69	6900	865	1000	0.9030824058704671	0.5254633204086617	0	865	0.9260000000000075	0.9052023121387284	19.165731986363728
