Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[9, 3, 1]	sub(add(cos(-5), sub(X3, X3)), sin(sub(X9, X1)))	None	0.0003067448839525995	10621329153.115746	1	1000.0	24994	0	20.0	1000.0	25000	25000	1000	1000	1	0.0003067448839525995	1	0.0	0.0003067448839525995	0.0	1
[17, 11, 6]	cos(mul(sub(div(4, -4), sub(X6, X11)), cos(mul(X17, -6))))	None	0.0003067432657666915	10621441250.795929	1	1000.0	24994	0	20.0	1000.0	25000	25000	1000	1000	1	0.0003067432657666915	1	0.0	0.0003067432657666915	0.0	1
[8, 17, 7]	div(sin(cos(X7)), sin(mul(X17, X8)))	None	0.0003067926536621814	10618020769.026855	1	1000.0	24994	0	20.0	1000.0	25000	25000	1000	1000	1	0.0003067926536621814	1	0.0	0.0003067926536621814	0.0	1
[17, 7]	add(sin(X7), cos(X17))	None	0.00030674606969443034	10621247013.55119	1	1000.0	24994	0	20.0	1000.0	25000	25000	1000	1000	1	0.00030674606969443034	1	0.0	0.00030674606969443034	0.0	1
[19, 18, 3]	sub(sin(sub(sub(3, X3), sub(X18, X19))), sin(div(sin(2), X19)))	None	0.0003067462168369156	10621236820.657112	1	1000.0	24994	0	20.0	1000.0	25000	25000	1000	1000	1	0.0003067462168369156	1	0.0	0.0003067462168369156	0.0	1
[0, 1, 18]	sub(div(-5, X0), sub(X1, X18))	None	0.000306496001061525	10638591056.421682	1	1000.0	24994	0	20.0	1000.0	25000	25000	1000	1000	1	0.000306496001061525	1	0.0	0.000306496001061525	0.0	1
[0, 1, 5, 14, 15]	add(sub(add(-4, X5), sin(X1)), sub(sub(X5, X0), div(X14, X15)))	None	0.0003067185968645199	10623150375.958227	1	1000.0	24994	0	20.0	1000.0	25000	25000	1000	1000	1	0.0003067185968645199	1	0.0	0.0003067185968645199	0.0	1
[8, 1, 5]	add(add(cos(sub(-4, X5)), add(add(-5, X1), cos(4))), mul(add(sin(-2), sub(X8, div(-4, -4))), cos(sub(-4, X5))))	None	0.0005915128717179025	10596577890.381897	1	1000.0	24994	2712	20.0	1000.0	22287	22288	999	1000	1	0.0005915128717179025	1	0.0	0.0005915128717179025	0.0	1
[9]	div(-4, X9)	None	0.0006644666384474266	10617429440.649227	1	1000.0	24994	3694	20.0	1000.0	21305	21306	999	1000	1	0.0006644666384474266	1	0.0	0.0006644666384474266	0.0	1
[0, 8, 9, 10, 15]	div(X15, sub(-4, add(add(mul(X10, -4), div(X0, sub(X9, -4))), sub(X8, 1))))	None	0.0006724776580611444	10564553515.408709	1	1000.0	24994	3784	20.0	1000.0	21215	21216	999	1000	1	0.0006724776580611444	1	0.0	0.0006724776580611444	0.0	1
[8, 1, 5]	add(add(-5, X1), mul(add(sin(-2), sub(sin(-2), 1)), cos(mul(mul(add(X8, sub(X8, sub(-4, X5))), cos(sub(-4, X5))), -4))))	None	0.0008084394074849486	10615119214.572535	1	1000.0	24994	5949	20.0	1000.0	19050	19051	999	1000	1	0.0008084394074849486	1	0.0	0.0008084394074849486	0.0	1
[4]	sub(mul(X4, -4), X4)	None	0.0008101542524628534	10570192670.173677	1	1000.0	24994	5949	20.0	1000.0	19050	19051	999	1000	1	0.0008101542524628534	1	0.0	0.0008101542524628534	0.0	1
[18, 15]	add(sub(add(div(-1, X18), X15), add(sin(1), -1)), -4)	None	0.0008482515757693242	10602800467.083727	1	1000.0	24994	6642	20.0	1000.0	18357	18358	999	1000	1	0.0008482515757693242	1	0.0	0.0008482515757693242	0.0	1
[0, 4, 5, 12, 15, 19]	add(add(add(mul(X4, -4), div(X0, X15)), 4), mul(add(cos(X4), sub(cos(X4), add(X19, X5))), cos(sub(-4, X12))))	None	0.0008776612977049416	10587794405.722229	1	1000.0	24994	7170	20.0	1000.0	17829	17830	999	1000	1	0.0008776612977049416	1	0.0	0.0008776612977049416	0.0	1
[0, 4, 5, 15, 18, 19]	add(add(add(mul(X4, -4), add(X19, X5)), add(add(X18, add(add(mul(X4, -4), div(X0, X15)), add(-4, cos(X5)))), cos(4))), mul(add(cos(X4), cos(sub(-4, X18))), cos(sub(X19, 4))))	None	0.0008780876307453479	10605989489.798006	1	1000.0	24994	7192	20.0	1000.0	17807	17808	999	1000	1	0.0008780876307453479	1	0.0	0.0008780876307453479	0.0	1
[8, 1, 4, 5]	add(cos(sub(-4, X5)), mul(add(sin(sub(-4, X5)), sub(X8, div(add(add(-5, X1), mul(X4, -4)), -4))), cos(add(sin(-2), sub(X8, div(-4, -4))))))	None	0.0009101082584103254	10624159965.515156	1	1000.0	24994	7816	20.0	1000.0	17183	17184	999	1000	1	0.0009101082584103254	1	0.0	0.0009101082584103254	0.0	1
[0, 1, 4, 15]	add(add(add(mul(X4, -4), div(X0, X15)), add(add(-5, X1), cos(cos(sub(X4, -5))))), X4)	None	0.0009280215130537195	10558344921.521336	1	1000.0	24994	8110	20.0	1000.0	16889	16890	999	1000	1	0.0009280215130537195	1	0.0	0.0009280215130537195	0.0	1
