Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	RMSE	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	1000	1000	104598.46533832388	9.560278312757428e-06	0	1000	0.8700999999999995	0.0	1.1616319378217062
2	200	1000	1000	21379.315873328673	4.6771993731274626e-05	0	1000	0.8698999999999993	0.0	2.285921303431193
3	300	1000	1000	3990.7603444005626	0.0002505160414759741	0	1000	0.8698499999999993	0.0	3.3407432675361632
4	400	1000	1000	2671.0173253047747	0.00037424907036706374	0	1000	0.8693499999999993	0.0	4.26504921913147
5	500	998	1000	3482.729427049287	0.0002870486990853932	0	998	0.8693999999999994	0.0	5.214097503821055
6	600	998	1000	4586.750311969562	0.00021797175783323986	0	998	0.8690499999999995	0.0	6.17566815217336
7	700	998	1000	3216.6988415396454	0.00031078110452422184	0	998	0.8684999999999993	0.0	7.092236252625783
8	800	998	1000	3981.821053588077	0.00025107831523063577	0	998	0.8682999999999993	0.0	8.050277789433798
9	900	998	1000	3131.516823823364	0.00031923212427617846	0	998	0.8681999999999991	0.0	8.968500618139903
10	1000	998	1000	3396.129996219789	0.0002943661270286289	0	998	0.8683999999999993	0.0	9.895354151725769
11	1100	998	1000	3173.1548527616274	0.00031504449101781045	0	998	0.8680499999999994	0.9298597194388778	10.03554790019989
12	1200	998	1000	3373.0392288844982	0.00029638066784736617	0	998	0.8670999999999992	0.9318637274549099	10.16761208375295
13	1300	997	1000	3543.9543473544204	0.00028209107988831915	0	997	0.8664999999999993	0.9317953861584755	10.302339855829874
14	1400	997	1000	2642.1251189635227	0.0003783400160761746	0	997	0.8653499999999993	0.9297893681043129	10.431871418158213
15	1500	996	1000	3517.0754104361604	0.0002842463231554275	0	996	0.8649499999999993	0.927710843373494	10.56896181901296
16	1600	996	1000	3314.4743268836546	0.0003016159684578042	0	996	0.8647999999999993	0.9347389558232931	10.699945819377898
17	1700	996	1000	3228.7696455328223	0.0003096196044145519	0	996	0.8651999999999995	0.9377510040160643	10.82877066930135
18	1800	996	1000	3962.693607365088	0.00025228993435361964	0	996	0.8649999999999995	0.9357429718875502	10.946862602233887
19	1900	995	1000	3134.6637774401925	0.0003189117427686564	0	995	0.8654999999999995	0.935678391959799	11.06415593624115
20	2000	995	1000	3420.4549787017627	0.00029227331828853703	0	995	0.8653499999999996	0.9386934673366835	11.179656438032787
21	2100	995	1000	3174.412448153397	0.0003149197202969749	0	995	0.8654499999999996	0.942713567839196	11.294204485416412
22	2200	995	1000	3368.391232721226	0.00029678951802589236	0	995	0.8638999999999998	0.9376884422110553	11.424917101860046
23	2300	995	1000	3539.0766578358575	0.00028247975867599614	0	995	0.8625999999999997	0.9336683417085427	11.553067819277446
24	2400	996	1000	2639.117508419221	0.0003787710194000998	0	996	0.8622499999999995	0.9317269076305221	11.669945267836253
25	2500	995	1000	3512.5046829028247	0.0002846160999489004	0	995	0.8620999999999996	0.9326633165829146	11.791839238007864
26	2600	995	1000	3312.417560228887	0.0003018031931752427	0	995	0.8617499999999996	0.9266331658291457	11.918164817492167
27	2700	995	1000	3228.724057676951	0.00030962397472410435	0	995	0.8616499999999995	0.9236180904522613	12.047573987642924
28	2800	995	1000	3955.8721878448696	0.00025272486765478647	0	995	0.8618499999999996	0.9226130653266331	12.181750400861104
29	2900	995	1000	3126.1565901998924	0.00031977931745850904	0	995	0.8620499999999995	0.9266331658291457	12.307447536786396
30	3000	995	1000	3419.266539660172	0.0002923748744153013	0	995	0.8621499999999995	0.9256281407035176	12.434729186693827
31	3100	995	1000	3173.183800986175	0.00031504161784497604	0	995	0.8629499999999994	0.9266331658291457	12.558857583999634
32	3200	995	1000	3374.2328157370634	0.0002962758584644852	0	995	0.8618999999999997	0.9266331658291457	12.683955585956573
33	3300	995	1000	3547.1976062964595	0.0002818332322375305	0	995	0.8610999999999995	0.9246231155778895	12.811044553915659
34	3400	995	1000	2636.0703356495496	0.0003792086947706251	0	995	0.8600499999999995	0.9226130653266331	12.93674518664678
35	3500	995	1000	3512.480512967983	0.0002846180578799506	0	995	0.8604499999999994	0.9206030150753769	13.066368639469147
36	3600	995	1000	3313.579905419681	0.0003016973578959121	0	995	0.8601999999999993	0.9256281407035176	13.191333218415577
37	3700	995	1000	3227.810624427726	0.00030971156760772856	0	995	0.8601499999999991	0.9296482412060302	13.316784103711447
38	3800	995	1000	3957.5648766309787	0.0002526168020899209	0	995	0.860699999999999	0.9306532663316583	13.441175039609274
39	3900	994	1000	3170.0683855103243	0.00031535113041690797	0	994	0.8606499999999991	0.9235412474849095	13.564372185866038
40	4000	994	1000	3420.232278148177	0.00029229234343050033	0	994	0.8607499999999991	0.9235412474849095	13.692344184716543
41	4100	993	1000	3170.778679810141	0.000315280510070097	0	993	0.8612499999999992	0.9224572004028198	13.822351670265197
42	4200	991	1000	3374.0537037490803	0.0002962915816388874	0	991	0.8607999999999989	0.9243188698284561	13.948340686162313
43	4300	991	1000	3547.7862040604364	0.00028178648768861417	0	991	0.8598999999999992	0.922300706357215	14.079842368761698
44	4400	990	1000	2634.334032156737	0.00037945853838559045	0	990	0.8594999999999989	0.9222222222222223	14.209178936481475
45	4500	990	1000	3510.967810536486	0.00028474065081115894	0	990	0.8590999999999992	0.9191919191919192	14.34278661807378
46	4600	990	1000	3312.409468974483	0.00030180393017030434	0	990	0.8592499999999992	0.9171717171717172	14.47511558532715
47	4700	990	1000	3227.1092724873533	0.0003097788567824628	0	990	0.8586999999999992	0.9151515151515152	14.606703921159108
48	4800	988	1000	3956.6911389119264	0.0002526725721893817	0	988	0.8584999999999992	0.9180161943319838	14.743421037991842
49	4900	988	1000	3172.2749821669054	0.0003151318450559047	0	988	0.8586999999999992	0.9159919028340081	14.87659528652827
50	5000	988	1000	3421.915947253826	0.00029214857022775883	0	988	0.858949999999999	0.9119433198380567	15.010557552178701
51	5100	985	1000	3171.5154869967505	0.00031520728711923363	0	985	0.859349999999999	0.9126903553299492	15.146332887808482
52	5200	984	1000	3372.696120168196	0.0002964108100969523	0	984	0.8596499999999989	0.907520325203252	15.28450043598811
53	5300	984	1000	3544.063052364208	0.0002820824299113942	0	984	0.858599999999999	0.9105691056910569	15.426203735669453
54	5400	984	1000	2630.513633137138	0.0003800094316090842	0	984	0.8578499999999989	0.9146341463414634	15.556962704658508
55	5500	983	1000	3512.3756134305636	0.0002846265557765315	0	983	0.8573999999999989	0.9196337741607324	15.69002243677775
56	5600	983	1000	3307.4832152037534	0.0003022533091310892	0	983	0.8579499999999989	0.9196337741607324	15.818432700634002
57	5700	983	1000	3229.117808464223	0.00030958623161656614	0	983	0.8575999999999987	0.9216683621566633	15.952755868434906
58	5800	983	1000	3956.3615192030184	0.0002526936179945956	0	983	0.8573499999999987	0.9206510681586979	16.08797072172165
59	5900	984	1000	3172.7577662771164	0.00031508390798615384	0	984	0.8571999999999987	0.9197154471544715	16.221081654230755
60	6000	983	1000	3424.5776527529224	0.0002919215680883376	0	983	0.8573499999999987	0.9257375381485249	16.351101954778034
61	6100	982	1000	3170.1065521546157	0.0003153473349296786	0	982	0.8573499999999987	0.9256619144602851	16.473902602990467
62	6200	982	1000	3372.720820054188	0.0002964086399964589	0	982	0.8572999999999991	0.9215885947046843	16.60284470319748
63	6300	982	1000	3545.097857375613	0.00028200011399010785	0	982	0.8573999999999988	0.9205702647657841	16.7372265179952
64	6400	982	1000	2629.7970833467584	0.00038011293471857353	0	982	0.856499999999999	0.9114052953156823	16.871582718690238
65	6500	983	1000	3512.0081929117705	0.0002846563244622399	0	983	0.856649999999999	0.9033570701932858	17.015040349960326
66	6600	981	1000	3309.5055229971294	0.00030206866989143736	0	981	0.8568499999999992	0.9021406727828746	17.158786420027415
67	6700	981	1000	3231.660758017398	0.00030934269781321053	0	981	0.8562499999999991	0.8929663608562691	17.310595655441283
68	6800	982	1000	3955.6446652853315	0.00025273940032415965	0	982	0.8559999999999993	0.8920570264765784	17.465502635637918
69	6900	983	1000	3176.6681222554635	0.0003146961739006949	0	983	0.8558499999999994	0.8921668362156663	17.616415536403657
70	7000	983	1000	3423.704810302393	0.00029199596911002164	0	983	0.8559499999999994	0.8931841302136317	17.768265199661254
71	7100	982	1000	3171.4119893490433	0.00031521757052910173	0	982	0.8561999999999995	0.8910386965376782	17.921891434987387
72	7200	982	1000	3373.2838099973706	0.0002963591850327431	0	982	0.8562999999999994	0.8961303462321792	18.071982101599374
73	7300	982	1000	3544.5273055687853	0.0002820454938901046	0	982	0.8565499999999993	0.9022403258655805	18.219355404376984
74	7400	981	1000	2628.7215369596342	0.0003802683995036809	0	981	0.8562499999999994	0.9133537206931702	18.35533598661423
75	7500	981	1000	3507.4725476282215	0.0002850243193939239	0	981	0.8561499999999995	0.910295616717635	18.495881688594817
76	7600	979	1000	3309.3931834732584	0.00030207892071321927	0	979	0.8562999999999996	0.906026557711951	18.635767738024395
77	7700	979	1000	3235.1931942898145	0.00030900503769814365	0	979	0.8565499999999996	0.9152196118488254	18.772034867604575
78	7800	979	1000	3958.536989835368	0.0002525547816745055	0	979	0.8561999999999996	0.9101123595505618	18.91701785326004
79	7900	979	1000	3177.7605199522986	0.0003145880269127686	0	979	0.8559499999999994	0.9090909090909091	19.061411436398824
80	8000	980	1000	3420.0993128119517	0.00029230370374078857	0	980	0.8557999999999995	0.9051020408163265	19.20676193634669
81	8100	980	1000	3172.3690233905268	0.00031512250627932606	0	980	0.8559499999999994	0.9030612244897959	19.354143782456717
82	8200	979	1000	3375.869075085903	0.0002961322982220036	0	979	0.8560499999999998	0.9019407558733401	19.49737346569697
83	8300	979	1000	3543.3558710053476	0.00028213871191110177	0	979	0.8564999999999997	0.9009193054136875	19.642897566159565
84	8400	976	1000	2631.890301585294	0.00037981073476471404	0	976	0.8565499999999995	0.9026639344262295	19.783786018689472
85	8500	976	1000	3508.3317417033663	0.0002849545365336758	0	976	0.8571999999999997	0.9108606557377049	19.927667303880057
86	8600	975	1000	3305.28309879961	0.0003024544390536501	0	975	0.8572499999999996	0.9056410256410257	20.072143002351126
87	8700	977	1000	3230.631900425337	0.0003094411835297155	0	977	0.8576999999999995	0.9027635619242579	20.21286155382792
88	8800	977	1000	3954.48244311093	0.00025281366164111056	0	977	0.8575999999999997	0.9089048106448311	20.356817003091177
89	8900	977	1000	3169.5271337594877	0.00031540496510882687	0	977	0.8572999999999998	0.9078812691914022	20.49407538572947
90	9000	977	1000	3410.9991084003195	0.00029308331222537736	0	977	0.8570499999999999	0.90992835209826	20.637242551644643
91	9100	977	1000	3172.9591016021686	0.0003150639211120315	0	977	0.8564499999999997	0.9089048106448311	20.780166753133138
92	9200	977	1000	3366.523448289323	0.00029695413123492656	0	977	0.8572499999999996	0.9068577277379734	20.920377067724864
93	9300	977	1000	3536.0085035864304	0.00028272479384373184	0	977	0.8577499999999996	0.9058341862845445	21.063999553521473
94	9400	977	1000	2623.2747778858147	0.00038105765769148094	0	977	0.8579999999999994	0.9027635619242579	21.20175843636195
95	9500	978	1000	3501.0355503756923	0.00028554821492109687	0	978	0.8574999999999992	0.8997955010224948	21.35533933242162
96	9600	979	1000	3306.8410250800475	0.0003023119891246287	0	979	0.8574999999999993	0.8907048008171604	21.513832954565682
97	9700	980	1000	3230.157845300607	0.0003094865827908714	0	980	0.8578999999999993	0.889795918367347	21.66751670440038
98	9800	979	1000	3952.9548726235435	0.0002529113336431369	0	979	0.8587499999999993	0.8804902962206334	21.836325335502625
99	9900	979	1000	3166.8053150522655	0.0003156759650753667	0	979	0.8590999999999994	0.8774259448416751	21.999799450238545
100	10000	979	1000	3408.3806029499433	0.00029330840890417364	0	979	0.8592999999999995	0.8774259448416751	22.166868086655935
101	10100	980	1000	3171.3136015777204	0.0003152273468495231	0	980	0.8589499999999991	0.8551020408163266	23.128714100519815
102	10200	979	1000	3368.7000921642766	0.000296762314938753	0	979	0.8594499999999994	0.8549540347293156	23.315540484587352
103	10300	980	1000	3541.3261135996745	0.0002823003777548337	0	980	0.8606999999999992	0.8459183673469388	23.510381849606834
104	10400	979	1000	2617.1209261037584	0.0003819533276823017	0	979	0.8606999999999989	0.8314606741573034	23.701794954140983
105	10500	979	1000	3497.5962415773297	0.00028582892421708927	0	979	0.8605999999999989	0.8304392236976507	23.907828573385874
106	10600	981	1000	3306.863784252104	0.00030230990912042543	0	981	0.8600999999999992	0.8287461773700305	24.120372752348583
107	10700	979	1000	3242.7581366042014	0.00030828439047766727	0	979	0.8605499999999994	0.8212461695607763	24.32928365468979
108	10800	979	1000	3947.6520062657796	0.0002532509824652021	0	979	0.860499999999999	0.8253319713993871	24.541528717676798
109	10900	978	1000	3169.1013926472056	0.0003154473236469405	0	978	0.8603999999999994	0.8302658486707567	24.739020705223083
110	11000	978	1000	3405.031538422915	0.0002935968116322925	0	978	0.8603499999999995	0.8333333333333334	24.9428213874499
111	11100	978	1000	3172.1885743976254	0.0003151404262792143	0	978	0.8602999999999994	0.852760736196319	25.13366853793462
112	11200	979	1000	3369.541416314078	0.0002966882398061643	0	979	0.8604999999999996	0.8447395301327886	25.33492954969406
113	11300	977	1000	3547.294752433261	0.00028182551613398097	0	977	0.8608999999999997	0.8546571136131014	25.529175206025442
114	11400	979	1000	2615.362706614829	0.0003822100037856931	0	979	0.8611999999999993	0.8539325842696629	25.716272071997324
115	11500	978	1000	3496.269986479511	0.00028593731792684365	0	978	0.8609499999999993	0.8599182004089979	25.898848934968314
116	11600	980	1000	3308.4955221369464	0.00030216085603110244	0	980	0.8605999999999994	0.8765306122448979	26.07103410164515
117	11700	983	1000	3251.5718730670214	0.00030744900928416605	0	983	0.8605999999999994	0.884028484231943	26.24241228501002
118	11800	981	1000	3940.032735598295	0.00025374059722145097	0	981	0.8607999999999991	0.8776758409785933	26.420365301767983
119	11900	978	1000	3172.9766989060818	0.0003150621743205148	0	978	0.8607499999999992	0.8732106339468303	26.58926550547282
120	12000	978	1000	3400.670978395366	0.00029397316976015103	0	978	0.8606999999999994	0.8711656441717791	26.764170118172963
121	12100	978	1000	3168.782455748384	0.00031547906329865166	0	978	0.8607499999999993	0.8742331288343558	26.934129051367442
122	12200	979	1000	3369.583996827317	0.0002966844917501791	0	979	0.8614499999999996	0.8661899897854954	27.12213760217031
123	12300	980	1000	3553.430763381018	0.0002813390009737559	0	980	0.8619999999999999	0.8673469387755102	27.304271765549977
124	12400	980	1000	2612.523377992744	0.0003826252362693717	0	980	0.8618999999999998	0.8775510204081632	27.471311120192208
125	12500	982	1000	3493.172799614712	0.0002861907688452803	0	982	0.8597499999999997	0.8472505091649695	27.680428584416706
126	12600	983	1000	3309.4503492522877	0.0003020737043302475	0	983	0.8599999999999999	0.8290946083418108	27.895303519566855
127	12700	982	1000	3258.270051664392	0.00030681716585262273	0	982	0.8593999999999998	0.8340122199592668	28.10245526631673
128	12800	982	1000	3944.43709235096	0.0002534573423914692	0	982	0.8593499999999998	0.8360488798370672	28.31294176975886
129	12900	980	1000	3163.8215264477576	0.00031597358386348403	0	980	0.8594499999999999	0.8326530612244898	28.520294034481047
130	13000	979	1000	3402.186532041598	0.0002938422536010955	0	979	0.8592499999999997	0.839632277834525	28.720248452822368
131	13100	977	1000	3168.5421641457633	0.00031550298062354824	0	977	0.85985	0.8280450358239508	28.929935983816783
132	13200	977	1000	3366.6871240917144	0.00029693969871672865	0	977	0.8603500000000001	0.8536335721596725	29.128499321142833
133	13300	975	1000	3543.4952859966156	0.00028212761460023417	0	975	0.8613000000000006	0.8523076923076923	29.33227328459422
134	13400	976	1000	2611.3988063784536	0.0003827899467563651	0	976	0.8614500000000007	0.8329918032786885	29.533201436201733
135	13500	976	1000	3493.1503252821103	0.0002861926096208417	0	976	0.8604500000000004	0.8442622950819673	29.741781771183014
136	13600	976	1000	3302.6615371665885	0.00030269444637408526	0	976	0.8606000000000006	0.8534836065573771	29.938848304748536
137	13700	975	1000	3241.9893805476754	0.0003083574698080325	0	975	0.8603500000000005	0.8605128205128205	30.11836540301641
138	13800	973	1000	3951.480969010319	0.0002530056457806032	0	973	0.8606500000000005	0.8478931140801644	30.32432803710302
139	13900	971	1000	3181.0490722173745	0.00031426290962356575	0	971	0.8608000000000005	0.8455200823892894	30.526964032649992
140	14000	973	1000	3401.0775983886756	0.0002939380337690209	0	973	0.8605000000000006	0.8355601233299075	30.734657835960387
141	14100	974	1000	3182.3358755242693	0.0003141358747874219	0	974	0.8606000000000011	0.8254620123203286	30.967137269179027
142	14200	977	1000	3365.6211557109878	0.00029703371830348184	0	977	0.8617000000000011	0.7922210849539406	31.219138701756794
143	14300	978	1000	3546.633945566396	0.0002818780109063212	0	978	0.8633000000000013	0.7822085889570553	31.477325503031413
144	14400	980	1000	2606.6667422649043	0.000383484585584523	0	980	0.8636500000000013	0.7877551020408163	31.724230937163036
145	14500	981	1000	3491.0709214764147	0.0002863630271223728	0	981	0.8627500000000007	0.7879714576962283	31.985233970483144
146	14600	981	1000	3300.9387581935225	0.00030285237650715726	0	981	0.8611000000000003	0.7767584097859327	32.24895713329315
147	14700	978	1000	3253.4832197546384	0.0003072684455492113	0	978	0.8616000000000005	0.7607361963190185	32.51523332198461
148	14800	978	1000	3940.5407952941173	0.00025370789037472847	0	978	0.8613500000000003	0.7760736196319018	32.7784272034963
149	14900	978	1000	3161.4054378600267	0.0003162149887639618	0	978	0.8615499999999998	0.7760736196319018	33.02787555058797
150	15000	980	1000	3399.1157668806177	0.0002941076329637547	0	980	0.8611000000000001	0.7765306122448979	33.29435475269953
151	15100	981	1000	3167.0550745164255	0.000315651078178507	0	981	0.8603500000000005	0.7737003058103975	33.5799330552419
152	15200	980	1000	3363.269506310546	0.00029724134708121474	0	980	0.8612500000000008	0.7969387755102041	33.83323238690694
153	15300	980	1000	3564.746035567559	0.00028044622079789543	0	980	0.8616500000000012	0.8091836734693878	34.07344295581182
154	15400	980	1000	2602.2607537522226	0.0003841336287802308	0	980	0.8625500000000018	0.8122448979591836	34.3060621380806
155	15500	982	1000	3485.640450047161	0.0002868090399130412	0	982	0.8620500000000018	0.8289205702647657	34.52959756851196
156	15600	982	1000	3308.6671094431877	0.0003021451907192679	0	982	0.8603500000000012	0.8309572301425662	34.76766855319341
157	15700	984	1000	3277.3807375735114	0.000305028634575296	0	984	0.8589500000000008	0.8201219512195121	35.00092493295669
158	15800	984	1000	3929.793610509967	0.000254401553245189	0	984	0.8587500000000008	0.8160569105691057	35.247633103529616
159	15900	984	1000	3172.9947038163223	0.00031506038708811583	0	984	0.8588500000000007	0.8079268292682927	35.50886665185293
160	16000	984	1000	3399.434267056181	0.00029408008550205515	0	984	0.8589500000000008	0.8221544715447154	35.75955638885498
161	16100	981	1000	3166.394583157956	0.00031571690035631116	0	981	0.8583500000000011	0.8440366972477065	36.015618002414705
162	16200	981	1000	3365.543479529755	0.0002970405717557172	0	981	0.8582000000000014	0.8430173292558614	36.28719525337219
163	16300	980	1000	3563.668377936832	0.00028053100428342863	0	980	0.8588000000000017	0.8397959183673469	36.58653395573298
164	16400	980	1000	2599.400954960211	0.00038455608089687886	0	980	0.8595000000000019	0.8377551020408164	36.82873256603877
