Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	RMSE	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	1000	1000	38361960.05231505	2.606748905866095e-08	0	1000	0.8695499999999996	0.0	0.7202852964401245
2	200	1000	1000	27846336.33306693	3.5911365578859143e-08	0	1000	0.8691999999999995	0.0	1.4464602828025819
3	300	1000	1000	33359679.07947766	2.99763066557459e-08	0	1000	0.8681999999999995	0.0	2.207253078619639
4	400	1000	1000	25499423.860202063	3.921657078472929e-08	0	1000	0.8678999999999997	0.0	2.8856390476226808
5	500	1000	1000	31645467.617215358	3.160010085791534e-08	0	1000	0.8676999999999996	0.0	3.629593312740326
6	600	1000	1000	37564251.19771599	2.6621054366704595e-08	0	1000	0.8673499999999997	0.0	4.422313845157623
7	700	1000	1000	36141663.03847081	2.7668897561981513e-08	0	1000	0.8674999999999995	0.0	5.2042324304580685
8	800	1000	1000	37021982.116898544	2.701097877016625e-08	0	1000	0.8676499999999996	0.0	5.97765193382899
9	900	1000	1000	32284147.465718303	3.097495357704336e-08	0	1000	0.8674499999999996	0.0	6.717779461542765
10	1000	1000	1000	33523970.956582688	2.9829400922274735e-08	0	1000	0.8672499999999994	0.0	7.467404329776764
11	1100	1000	1000	34372104.641408235	2.909335873782767e-08	0	1000	0.8674499999999993	0.946	7.580000146230062
12	1200	1000	1000	27845552.647290546	3.591237626899557e-08	0	1000	0.8674999999999993	0.944	7.687213981151581
13	1300	1000	1000	33357897.971177716	2.9977907207646136e-08	0	1000	0.8672999999999991	0.942	7.798678080240886
14	1400	998	1000	25503991.93513754	3.920954662053223e-08	0	998	0.866749999999999	0.9448897795591182	7.904096146424611
15	1500	998	1000	31646443.722244803	3.15991261823191e-08	0	998	0.8665499999999988	0.9428857715430862	8.013433380921681
16	1600	998	1000	37569952.7639291	2.661701439090137e-08	0	998	0.8671999999999986	0.9408817635270541	8.128366565704345
17	1700	998	1000	36142645.697615236	2.766814529014506e-08	0	998	0.8666999999999987	0.9348697394789579	8.244169096151987
18	1800	998	1000	37020376.98681151	2.701214991257651e-08	0	998	0.8665499999999987	0.9348697394789579	8.361873364448547
19	1900	998	1000	32283439.90481752	3.0975632459635805e-08	0	998	0.8667999999999989	0.9328657314629258	8.476940266291301
20	2000	998	1000	33521001.29598845	2.98320435400487e-08	0	998	0.8668499999999989	0.9268537074148296	8.598039631048838
21	2100	998	1000	34379838.714038864	2.9086813909480042e-08	0	998	0.866799999999999	0.9268537074148296	8.722519179185232
22	2200	998	1000	27838704.498378035	3.592121049084926e-08	0	998	0.866949999999999	0.9238476953907816	8.845562998453776
23	2300	998	1000	33347633.358105112	2.9987134597358656e-08	0	998	0.8665499999999989	0.9318637274549099	8.96683673063914
24	2400	998	1000	25501233.697262656	3.921378756250346e-08	0	998	0.8660499999999987	0.9278557114228457	9.084882946809133
25	2500	998	1000	31649311.107890997	3.159626334345112e-08	0	998	0.8659999999999985	0.9298597194388778	9.204262415568033
26	2600	998	1000	37565302.49297079	2.662030935507069e-08	0	998	0.8656499999999985	0.9308617234468938	9.327243530750275
27	2700	996	1000	36151900.48915407	2.766106231784267e-08	0	996	0.8659499999999988	0.9347389558232931	9.448083945115407
28	2800	996	1000	37032846.30523935	2.7003054660032085e-08	0	996	0.865899999999999	0.9337349397590361	9.567711146672567
29	2900	996	1000	32300223.104901906	3.095953751751956e-08	0	996	0.865749999999999	0.9337349397590361	9.686703463395437
30	3000	996	1000	33529238.78497265	2.982471438103367e-08	0	996	0.8657999999999989	0.9397590361445783	9.803171197573343
31	3100	996	1000	34382840.382638864	2.908427459124818e-08	0	996	0.8660499999999989	0.9377510040160643	9.920960330963135
32	3200	996	1000	27832655.103220668	3.5929017923815206e-08	0	996	0.8659999999999989	0.9397590361445783	10.035517227649688
33	3300	994	1000	33299339.953159776	3.003062437201508e-08	0	994	0.865899999999999	0.9386317907444668	10.151431492964427
