Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[18, 19]	sub(X18, div(X18, cos(X19)))	None	0.2179515591838107	0.565	2	1000.0	24997	251	20.0	2000.0	13969	24749	904	1600	1	0.3182813445292835	104.0	0.2179515591838107	0.2179515591838107	0.04750288215065414	1
[19, 18, 2]	sub(mul(mul(mul(X18, X2), sin(2)), cos(X19)), div(X18, cos(X19)))	None	0.2651828339561996	0.58	1	1000.0	24997	512	20.0	1000.0	14185	24488	928	1600	1	0.3851038475396788	128.0	0.2651828339561996	0.2651828339561996	0.07032193542504134	1
[0, 18, 2, 19]	sub(mul(mul(mul(cos(X19), X2), sin(2)), X0), div(X18, cos(X19)))	None	0.35135439317969397	0.60875	1	1000.0	24997	698	20.0	1000.0	14785	24302	974	1600	1	0.5025482876347818	174.0	0.35135439317969397	0.35135439317969397	0.12344990960667097	1
[18, 19]	sub(cos(X19), div(X18, cos(X19)))	None	0.3477309046017469	0.6075	2	1000.0	24997	1104	20.0	2000.0	14512	23896	972	1600	1	0.497756042228107	172.0	0.3477309046017469	0.3477309046017469	0.12091678201514919	1
[0, 18, 19]	sub(mul(mul(mul(X18, div(X18, cos(X19))), sin(2)), X0), div(X18, cos(X19)))	None	0.34591494215581875	0.606875	1	1000.0	24997	1231	20.0	1000.0	14436	23769	971	1600	1	0.49534884742270396	171.0	0.34591494215581875	0.34591494215581875	0.11965714720666343	1
[0, 18, 19]	sub(mul(mul(X18, sin(2)), X0), div(X18, cos(X19)))	None	0.25546628332438615	0.576875	1	1000.0	24997	1251	20.0	1000.0	13701	23749	923	1600	1	0.3714732940093848	123.0	0.25546628332438615	0.25546628332438615	0.06526302191557554	1
[0, 18, 19]	sub(mul(mul(div(X18, cos(X19)), sin(2)), X0), div(X18, cos(X19)))	None	0.16314718339306739	0.548125	1	1000.0	24997	1508	20.0	1000.0	12884	23492	877	1600	1	0.23928905310129783	77.0	0.16314718339306739	0.16314718339306739	0.026617003449091164	1
[0, 1, 12, 18, 19]	sub(mul(mul(mul(add(X12, div(X1, 1)), X19), sin(2)), X0), div(X18, cos(X19)))	None	0.24175253507005476	0.5725	1	1000.0	24997	1887	20.0	1000.0	13222	23113	916	1600	1	0.3521276749794515	116.0	0.24175253507005476	0.24175253507005476	0.058444288212798054	1
[0, 19, 2, 18]	sub(mul(mul(X2, sin(2)), X0), div(X18, cos(X19)))	None	0.27098069531433366	0.581875	1	1000.0	24997	1938	20.0	1000.0	13404	23062	931	1600	1	0.39320519834757545	131.0	0.27098069531433366	0.27098069531433366	0.07343053723303973	1
[0, 1, 2, 12, 18, 19]	sub(mul(mul(mul(add(X12, div(X1, 1)), X2), sin(div(X18, cos(X19)))), X0), div(X18, cos(X19)))	None	0.12157125901542015	0.535625	1	1000.0	24997	2027	20.0	1000.0	12289	22973	857	1600	1	0.17865616346208582	57.0	0.12157125901542015	0.12157125901542015	0.014779571018594376	1
[18, 19]	sub(X19, div(X18, cos(X19)))	None	0.3477309046017469	0.6075	3	1000.0	24997	2094	20.0	3000.0	13899	22906	972	1600	1	0.497756042228107	172.0	0.3477309046017469	0.3477309046017469	0.12091678201514919	1
