Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[13]	sin(cos(mul(-6, X13)))	None	3.0449797158908936e-08	1.0785273574312902e+18	1	1000.0	24995	0	20.0	1000.0	25000	25000	1000	1000	1	3.0449797158908936e-08	1	0.0	3.0449797158908936e-08	0.0	1
[0, 10]	cos(div(sin(X10), mul(X0, -2)))	None	3.044979770746501e-08	1.0785273185717384e+18	1	1000.0	24995	0	20.0	1000.0	25000	25000	1000	1000	1	3.044979770746501e-08	1	0.0	3.044979770746501e-08	0.0	1
[2, 7]	mul(mul(X7, X2), mul(2, 2))	None	3.603614498635442e-08	1.0780809034121114e+18	1	1000.0	24995	400	20.0	1000.0	24599	24600	999	1000	1	3.603614498635442e-08	1	0.0	3.603614498635442e-08	0.0	1
[2, 10, 11, 15, 19]	sub(mul(mul(X11, X2), add(X19, X10)), cos(X15))	None	3.761746914637893e-08	1.0769754101336402e+18	1	1000.0	24995	524	20.0	1000.0	24475	24476	999	1000	1	3.761746914637893e-08	1	0.0	3.761746914637893e-08	0.0	1
[10, 11, 5]	mul(X10, add(X11, X5))	None	4.88904367904593e-08	1.0785369688907968e+18	1	1000.0	24995	1578	20.0	1000.0	23421	23422	999	1000	1	4.88904367904593e-08	1	0.0	4.88904367904593e-08	0.0	1
[11, 15]	sub(X15, cos(cos(X11)))	None	4.976469007628031e-08	1.0785275353902912e+18	1	1000.0	24995	1671	20.0	1000.0	23328	23329	999	1000	1	4.976469007628031e-08	1	0.0	4.976469007628031e-08	0.0	1
[15]	div(X15, X15)	None	6.27696147708787e-08	1.070551573797546e+18	1	1000.0	24995	3218	20.0	1000.0	21781	21782	999	1000	1	6.27696147708787e-08	1	0.0	6.27696147708787e-08	0.0	1
[16, 18, 15]	mul(add(div(2, X15), mul(X15, mul(X18, 2))), add(4, X16))	None	6.30234240806913e-08	1.0770521595522874e+18	1	1000.0	24995	3278	20.0	1000.0	21721	21722	999	1000	1	6.30234240806913e-08	1	0.0	6.30234240806913e-08	0.0	1
[0, 2, 15]	mul(add(div(div(2, X15), X15), mul(X15, X0)), X2)	None	6.327595101550844e-08	1.0779634078545006e+18	1	1000.0	24995	3316	20.0	1000.0	21683	21684	999	1000	1	6.327595101550844e-08	1	0.0	6.327595101550844e-08	0.0	1
[0, 2, 15, 7]	mul(add(div(mul(X7, 2), X15), mul(X15, X0)), X2)	None	6.358115538138033e-08	1.0723392822816315e+18	1	1000.0	24995	3335	20.0	1000.0	21664	21665	999	1000	1	6.358115538138033e-08	1	0.0	6.358115538138033e-08	0.0	1
[0, 11, 5, 15]	div(-3, add(div(2, mul(X11, X5)), mul(X15, X0)))	None	6.592076335207998e-08	1.0781149848810748e+18	1	1000.0	24995	3685	20.0	1000.0	21314	21315	999	1000	1	6.592076335207998e-08	1	0.0	6.592076335207998e-08	0.0	1
[0]	mul(-1, X0)	None	6.828195730245084e-08	1.0771215767916758e+18	1	1000.0	24995	4022	20.0	1000.0	20977	20978	999	1000	1	6.828195730245084e-08	1	0.0	6.828195730245084e-08	0.0	1
[0, 11, 5]	mul(add(X0, X11), add(X11, X5))	None	7.17593083982096e-08	1.0743001102013672e+18	1	1000.0	24995	4532	20.0	1000.0	20467	20468	999	1000	1	7.17593083982096e-08	1	0.0	7.17593083982096e-08	0.0	1
[0, 15]	div(X0, add(div(mul(X15, X0), X0), mul(X15, X0)))	None	7.184843511919215e-08	1.0778353717282497e+18	1	1000.0	24995	4564	20.0	1000.0	20435	20436	999	1000	1	7.184843511919215e-08	1	0.0	7.184843511919215e-08	0.0	1
[0, 2]	mul(X0, X2)	None	7.723434805544788e-08	1.0770902509539343e+18	1	1000.0	24995	5425	20.0	1000.0	19574	19575	999	1000	1	7.723434805544788e-08	1	0.0	7.723434805544788e-08	0.0	1
[0, 11, 5, 15]	mul(add(X0, X11), add(X11, add(mul(X15, mul(X15, mul(2, 2))), X5)))	None	7.788914046761844e-08	1.080155491016112e+18	1	1000.0	24995	5553	20.0	1000.0	19446	19447	999	1000	1	7.788914046761844e-08	1	0.0	7.788914046761844e-08	0.0	1
[2, 19, 5]	mul(add(cos(cos(X2)), add(add(add(-2, div(2, -4)), div(2, X5)), 2)), X19)	None	7.980519464202516e-08	1.0785272557139908e+18	1	1000.0	24995	5869	20.0	1000.0	19130	19131	999	1000	1	7.980519464202516e-08	1	0.0	7.980519464202516e-08	0.0	1
[19, 12]	div(X12, X19)	None	8.183627520662291e-08	1.0785141204044744e+18	1	1000.0	24995	6223	20.0	1000.0	18776	18777	999	1000	1	8.183627520662291e-08	1	0.0	8.183627520662291e-08	0.0	1
[16, 2]	mul(sin(X16), X2)	None	8.272643976401886e-08	1.0739859467126136e+18	1	1000.0	24995	6350	20.0	1000.0	18649	18650	999	1000	1	8.272643976401886e-08	1	0.0	8.272643976401886e-08	0.0	1
[11, 15]	mul(add(div(X15, X15), sin(2)), X11)	None	8.491929913408761e-08	1.0781706906845897e+18	1	1000.0	24995	6775	20.0	1000.0	18224	18225	999	1000	1	8.491929913408761e-08	1	0.0	8.491929913408761e-08	0.0	1
[11, 5]	mul(add(div(X11, mul(X11, X5)), sin(2)), X11)	None	8.497097975791409e-08	1.0785216043221554e+18	1	1000.0	24995	6787	20.0	1000.0	18212	18213	999	1000	1	8.497097975791409e-08	1	0.0	8.497097975791409e-08	0.0	1
[5]	mul(div(2, X5), -3)	None	8.556443684555411e-08	1.0785008027474281e+18	1	1000.0	24995	6896	20.0	1000.0	18103	18104	999	1000	1	8.556443684555411e-08	1	0.0	8.556443684555411e-08	0.0	1
[0, 19]	sub(X0, X19)	None	8.640985569389124e-08	1.0785271056960627e+18	1	1000.0	24995	7053	20.0	1000.0	17946	17947	999	1000	1	8.640985569389124e-08	1	0.0	8.640985569389124e-08	0.0	1
[1, 2, 19]	mul(div(2, sin(div(add(2, X1), mul(X19, X2)))), 2)	None	8.744564877607617e-08	1.0720904554054419e+18	1	1000.0	24995	7198	20.0	1000.0	17801	17802	999	1000	1	8.744564877607617e-08	1	0.0	8.744564877607617e-08	0.0	1
[2, 12, 7]	div(X12, mul(X7, sin(X2)))	None	8.785697723484366e-08	1.0783990115266368e+18	1	1000.0	24995	7324	20.0	1000.0	17675	17676	999	1000	1	8.785697723484366e-08	1	0.0	8.785697723484366e-08	0.0	1
[2, 12]	div(add(X12, 2), mul(2, sin(X2)))	None	8.814242228817006e-08	1.0728415002276538e+18	1	1000.0	24995	7335	20.0	1000.0	17664	17665	999	1000	1	8.814242228817006e-08	1	0.0	8.814242228817006e-08	0.0	1
[0, 15]	div(X0, add(div(X0, X0), mul(X0, X15)))	None	8.943121086713736e-08	1.0785273287837636e+18	1	1000.0	24995	7626	20.0	1000.0	17373	17374	999	1000	1	8.943121086713736e-08	1	0.0	8.943121086713736e-08	0.0	1
[11, 5, 15]	mul(add(div(X15, mul(add(X11, X5), X5)), X15), X11)	None	9.023779014933453e-08	1.0783680108119484e+18	1	1000.0	24995	7781	20.0	1000.0	17218	17219	999	1000	1	9.023779014933453e-08	1	0.0	9.023779014933453e-08	0.0	1
[0, 19, 11]	mul(div(X11, X0), X19)	None	9.119701094658426e-08	1.0717940508453857e+18	1	1000.0	24995	7914	20.0	1000.0	17085	17086	999	1000	1	9.119701094658426e-08	1	0.0	9.119701094658426e-08	0.0	1
[0, 5]	mul(add(X5, add(-4, mul(X0, X5))), X5)	None	9.159340130543032e-08	1.0769603238305857e+18	1	1000.0	24995	8035	20.0	1000.0	16964	16965	999	1000	1	9.159340130543032e-08	1	0.0	9.159340130543032e-08	0.0	1
[0, 11, 15]	mul(add(div(2, mul(X15, X0)), X11), X11)	None	9.630123859795184e-08	1.0752722559475151e+18	1	1000.0	24995	8972	20.0	1000.0	16027	16028	999	1000	1	9.630123859795184e-08	1	0.0	9.630123859795184e-08	0.0	1
[0]	mul(2, mul(X0, 2))	None	9.773919905515556e-08	1.0734900619796212e+18	1	1000.0	24995	9255	20.0	1000.0	15744	15745	999	1000	1	9.773919905515556e-08	1	0.0	9.773919905515556e-08	0.0	1
[0, 5, 15]	div(X0, add(div(mul(X15, X0), X0), add(mul(X15, mul(X15, X0)), X5)))	None	9.936622407159888e-08	1.0785273605380787e+18	1	1000.0	24995	9649	20.0	1000.0	15350	15351	999	1000	1	9.936622407159888e-08	1	0.0	9.936622407159888e-08	0.0	1
[0, 5]	mul(X0, X5)	None	9.947785762307182e-08	1.0785333425747402e+18	1	1000.0	24995	9673	20.0	1000.0	15326	15327	999	1000	1	9.947785762307182e-08	1	0.0	9.947785762307182e-08	0.0	1
[0, 11, 5, 15]	mul(add(div(X0, X15), X0), add(X11, add(mul(X15, mul(X15, X0)), X5)))	None	1.0242291339076325e-07	1.0238831066515779e+18	1	1000.0	24995	9741	20.0	1000.0	15258	15259	999	1000	1	1.0242291339076325e-07	1	0.0	1.0242291339076325e-07	0.0	1
[0, 19, 5, 15]	mul(add(2, X0), add(add(X19, add(sin(div(2, X0)), mul(X5, -3))), add(mul(X15, mul(X15, X0)), X5)))	None	1.035116085330702e-07	1.0258846106057115e+18	1	1000.0	24995	9992	20.0	1000.0	15007	15008	999	1000	1	1.035116085330702e-07	1	0.0	1.035116085330702e-07	0.0	1
[0, 11, 5, 15]	mul(add(div(X0, add(div(2, X11), X15)), X0), add(X11, add(mul(X15, mul(X15, X15)), X5)))	None	8.591244093944721e-08	1.4908652442051295e+18	1	1000.0	24995	10004	20.0	1000.0	14995	14996	999	1000	1	8.591244093944721e-08	1	0.0	8.591244093944721e-08	0.0	1
