Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[18, 19]	sub(sin(sub(sub(3, 0), sub(X18, X19))), sin(div(sin(2), X19)))	None	0.5934745273542221	0.749375	4	1000.0	47999	3491	20.0	4000.0	33348	44509	1199	1600	1	0.8589020236385726	399.0	0.5934745273542221	0.5934745273542221	0.35221201461831736	1
[18, 19]	sub(sin(sub(sub(3, 0), sub(X18, X19))), sin(X19))	None	0.3527516361747567	0.626875	3	1000.0	47999	5674	20.0	3000.0	26545	42326	1003	1600	1	0.568669426261809	203.0	0.3527516361747567	0.3527516361747567	0.12443371682396791	1
[18, 19]	sub(sin(sub(sub(3, 0), sub(X18, X19))), sin(div(sin(2), sin(sub(3, sub(X18, X19))))))	None	1.0	1.0	2	1000.0	47999	6683	20.0	2000.0	41317	41317	1600	1600	1	1.00000000000145	800.0	1.0	1.0	1.0	1
[18, 19]	sub(sin(sub(sub(3, 0), sub(X18, X19))), sin(div(sin(2), sin(X19))))	None	0.5934745273542221	0.749375	2	1000.0	47999	8098	20.0	2000.0	29898	39902	1199	1600	1	0.8589020236385726	399.0	0.5934745273542221	0.5934745273542221	0.35221201461831736	1
[18, 19]	sub(sin(sub(sub(3, 0), sub(X18, X19))), sin(div(sin(2), sin(sub(X18, X19)))))	None	1.0	1.0	2	1000.0	47999	11409	20.0	2000.0	36591	36591	1600	1600	1	1.00000000000145	800.0	1.0	1.0	1.0	1
[18, 19]	sub(sin(sub(sub(3, 0), sub(X18, X19))), sin(div(sin(2), 3)))	None	0.4693957611189763	0.68125	2	1000.0	47999	11891	20.0	2000.0	24603	36109	1090	1600	1	0.7290868400839563	290.0	0.4693957611189763	0.4693957611189763	0.22033238055646306	1
[18, 19]	sub(sin(sub(3, sub(X18, X19))), sin(div(sin(2), sin(sub(X18, X19)))))	None	1.0	1.0	3	1000.0	47999	13886	20.0	3000.0	34114	34114	1600	1600	1	1.00000000000145	800.0	1.0	1.0	1.0	1
[18, 19]	sub(sin(sub(3, sub(X18, X19))), sin(div(sin(2), sin(sub(sub(3, 0), sub(X18, X19))))))	None	1.0	1.0	2	1000.0	47999	17380	20.0	2000.0	30620	30620	1600	1600	1	1.00000000000145	800.0	1.0	1.0	1.0	1
[18, 19]	sub(sin(sub(sub(3, 0), sub(X18, X19))), sin(div(sin(X19), sin(sub(3, sub(X18, X19))))))	None	0.3439386104511142	0.623125	1	1000.0	47999	17908	20.0	1000.0	18760	30092	997	1600	1	0.5555104545589162	197.0	0.3439386104511142	0.3439386104511142	0.11829376775904327	1
[18, 19]	sub(sin(sub(sub(3, 0), sub(X18, X19))), sin(div(sin(2), sin(div(sin(2), sin(2))))))	None	0.5934745273542221	0.749375	3	1000.0	47999	19483	20.0	3000.0	21363	28517	1199	1600	1	0.8589020236385726	399.0	0.5934745273542221	0.5934745273542221	0.35221201461831736	1
